"co_pcdt","sg_procedimentoa","sg_procedimentob","qt_cns_paciente","sg_procedimentob2"
11,FORM1240060,FORM12400,43616,FORM12400
11,FORM1240060,FORM620060,15881,FORM620060
11,FORM1240060,SALB100200,13183,SALB100200
11,FORM6200,FORM1240060,7788,FORM1240060
11,FORM6200,FORM620060,9868,FORM620060
11,FORM620060,FORM1240060,12369,FORM1240060
11,FORM620060,FORM6200,7459,FORM6200
11,SALB100200,FORM1240060,16042,FORM1240060
12,RISP1,RISP1030,88,RISP1030
12,RISP1,RISP2,531,RISP2
12,RISP1,RISP3,80,RISP3
12,RISP1,TOPI25,23,TOPI25
12,RISP1030,RISP1,168,RISP1
12,RISP1030,RISP2,69,RISP2
12,RISP2,RISP1,187,RISP1
12,RISP2,RISP3,108,RISP3
12,RISP3,RISP1,32,RISP1
12,RISP3,RISP2,40,RISP2
13,SOMA12,SOMA4,1,SOMA4
14,AZAT50,CICLOSP50,76,CICLOSP50
14,AZAT50,HIDR400,248,HIDR400
14,AZAT50,IMUN50,154,IMUN50
14,AZAT50,METO25,284,METO25
14,CICLOSP100,CICLOSP50,85,CICLOSP50
14,HIDR400,AZAT50,64,AZAT50
14,HIDR400,METO25,110,METO25
14,IMUN50,AZAT50,154,AZAT50
14,IMUN50,METO25,66,METO25
14,METO25,AZAT50,138,AZAT50
14,METO25,HIDR400,86,HIDR400
15,DESM0125,ATOR10,105,ATOR10
15,DESM0125,ATOR20,126,ATOR20
15,DESM0125,CABE05,230,CABE05
15,DESM0125,CIPR100,62,CIPR100
15,DESM0125,LEVO100,36,LEVO100
15,DESM0125,LEVO25,25,LEVO25
15,DESM0125,OCTR20,41,OCTR20
15,DESM0125,OCTR30,27,OCTR30
15,DESM0125,SOMA12,361,SOMA12
15,DESM0125,SOMA4,348,SOMA4
16,ATOR10,ATOR20,48083,ATOR20
16,ATOR20,ATOR10,39387,ATOR10
16,ATOR20,ATOR40,40526,ATOR40
16,ATOR20,CIPR100,28418,CIPR100
16,ATOR40,ATOR20,15954,ATOR20
16,ATOR40,ATOR80,10418,ATOR80
16,CIPR100,ATOR20,14284,ATOR20
16,SINV10,SINV20,9847,SINV20
16,SINV20,ATOR20,11989,ATOR20
16,SINV20,SINV10,15621,SINV10
17,TOXI100,ATOR10,49,ATOR10
17,TOXI100,ATOR20,96,ATOR20
17,TOXI100,GABA300,54,GABA300
17,TOXI100,TOXI500,3777,TOXI500
17,TOXI500,ATOR10,54,ATOR10
17,TOXI500,ATOR20,140,ATOR20
17,TOXI500,CIPR100,48,CIPR100
17,TOXI500,FORM1240060,66,FORM1240060
17,TOXI500,GABA300,160,GABA300
17,TOXI500,QUET25,54,QUET25
17,TOXI500,RISP1,52,RISP1
17,TOXI500,TOXI100,3471,TOXI100
19,ADAL40,AZAT50,2638,AZAT50
19,AZAT50,ADAL40,3902,ADAL40
