co_pcdt,co_cnes_estabelecimento,qt_dispensacao,qt_cns_paciente,nu_competencia_min,nu_competencia_max
1,6125972,114,39,200901,201304
1,6214266,2,1,201511,201512
1,6238556,73,15,201007,201610
1,6352782,6410,1237,201001,201906
1,6400310,21,6,201101,201204
1,6400337,16,8,201203,201209
1,6400361,219,42,201007,201212
1,6432484,15,5,201810,201905
1,6461425,5627,1064,201003,201906
1,6471188,38324,7462,201012,201906
1,6503829,5311,836,201006,201906
1,6544290,15183,2852,201008,201906
1,6552315,38,14,201808,201905
1,6552323,11,3,201810,201905
1,6557961,2397,451,201008,201906
1,6565271,4163,767,201009,201906
1,6578640,676,145,201109,201906
1,6582559,8,2,201807,201903
1,6606040,93,47,201812,201905
1,6606512,3,1,201812,201902
1,6617379,9,6,201304,201305
1,6631142,16,3,201807,201904
1,6670725,25,9,201809,201905
1,6694950,59,16,201212,201708
1,6736785,72,26,201212,201305
1,6757634,1220,262,201205,201906
1,6862802,19,7,201708,201905
1,6911927,951,333,201201,201906
1,6926967,2767,630,201202,201906
1,6989632,3,1,201304,201306
1,7043260,15492,2816,201207,201906
1,7297017,273,61,201310,201801
1,7297068,2783,580,201308,201906
1,7334710,5,2,201702,201709
1,7375697,10,3,201611,201705
1,7472935,9526,1834,201405,201906
1,7661568,8677,2050,201503,201906
1,8002266,5196,791,200801,201906
1,8003041,1929,356,200801,201906
1,8004714,20,7,200903,201903
1,8006431,336,68,200803,201906
1,9317368,152,58,201711,201906
1,9734872,135,94,201904,201906
1,9784438,84,75,201905,201906
2,3441,9102,441,200801,201906
2,3816,70,15,201807,201905
2,4073,12,7,201703,201804
2,6149,173,25,201807,201905
2,7609,705,123,201607,201808
2,11762,91,32,200801,200803
2,21806,6880,225,200801,201906
2,2016338,4571,280,200801,201906
2,2020645,52,10,200903,201302
2,2028840,38,16,200801,200910
2,2043955,12282,732,200801,201906
2,2044412,3154,166,200801,201906
2,2051753,22074,1413,200801,201906
2,2054434,2853,225,200801,201906
2,2058502,1297,154,200801,201009
2,2068974,1714,232,200801,200907
2,2071339,4117,312,200801,201906
