"co_pcdt","qt_paciente_m","qt_paciente_f","qt_obito_m","qt_obito_f","sg_faixa_etaria","qt_registros_pcdt"
61,13,97,0,0,"20-24",76499
61,16,260,0,0,"25-29",76499
61,20,429,0,0,"30-34",76499
61,21,446,0,0,"35-39",76499
61,9,289,0,0,"40-44",76499
61,12,204,0,0,"45-49",76499
61,10,68,0,0,"50-54",76499
61,15,20,0,0,"55-59",76499
61,43,20,0,0,"60-64",76499
61,67,19,0,0,"65-69",76499
61,87,12,0,0,"70-74",76499
61,109,16,1,0,"75-79",76499
61,109,12,0,0,"80-84",76499
61,60,11,0,0,"85-89",76499
61,32,22,0,0,"90+",76499
61,1,2,0,0,SemInfo,76499
62,364,338,0,0,"00-04",6393
62,323,297,0,0,"05-09",6393
62,263,326,0,0,"10-14",6393
62,184,325,0,0,"15-19",6393
62,120,349,0,1,"20-24",6393
62,131,372,0,0,"25-29",6393
62,111,323,0,0,"30-34",6393
62,121,266,0,0,"35-39",6393
62,125,210,0,0,"40-44",6393
62,124,222,0,0,"45-49",6393
62,97,231,1,0,"50-54",6393
62,106,204,0,0,"55-59",6393
62,132,204,0,0,"60-64",6393
62,106,187,0,0,"65-69",6393
62,81,117,0,0,"70-74",6393
62,55,72,0,0,"75-79",6393
62,32,45,0,0,"80-84",6393
62,13,14,0,0,"85-89",6393
62,4,11,0,0,"90+",6393
63,112,135,0,0,"00-04",15663
63,109,159,0,0,"05-09",15663
63,123,148,0,0,"10-14",15663
63,174,144,0,0,"15-19",15663
63,293,237,0,0,"20-24",15663
63,368,309,0,0,"25-29",15663
63,478,394,1,0,"30-34",15663
63,556,477,0,0,"35-39",15663
63,688,601,0,0,"40-44",15663
63,874,707,1,0,"45-49",15663
63,970,785,1,1,"50-54",15663
63,1061,844,0,2,"55-59",15663
63,921,709,0,0,"60-64",15663
63,683,618,2,0,"65-69",15663
63,494,472,2,0,"70-74",15663
63,314,313,2,0,"75-79",15663
63,170,172,1,0,"80-84",15663
63,42,96,0,1,"85-89",15663
63,18,25,0,0,"90+",15663
64,134,176,0,0,"00-04",106497
64,295,307,0,0,"05-09",106497
64,624,626,0,1,"10-14",106497
64,1663,1902,0,0,"15-19",106497
64,2710,3608,0,0,"20-24",106497
64,3741,5494,0,1,"25-29",106497
64,4158,6570,0,0,"30-34",106497
64,4380,7038,1,0,"35-39",106497
64,4230,7004,1,0,"40-44",106497
64,4183,7083,0,1,"45-49",106497
64,3982,7021,1,0,"50-54",106497
64,3558,6320,0,0,"55-59",106497
64,2836,5088,1,0,"60-64",106497
64,2269,3646,1,0,"65-69",106497
64,1588,2445,4,1,"70-74",106497
64,1130,1529,1,0,"75-79",106497
64,571,713,1,2,"80-84",106497
64,170,281,0,1,"85-89",106497
64,50,85,0,0,"90+",106497
64,1,2,0,0,SemInfo,106497
65,197,133,0,0,"00-04",9007
65,216,170,0,0,"05-09",9007
65,274,187,0,0,"10-14",9007
65,287,226,0,0,"15-19",9007
65,262,248,0,0,"20-24",9007
65,313,258,0,0,"25-29",9007
65,379,272,1,0,"30-34",9007
65,363,276,0,0,"35-39",9007
65,357,283,0,0,"40-44",9007
65,459,297,0,0,"45-49",9007
65,456,302,1,0,"50-54",9007
65,445,296,0,0,"55-59",9007
65,433,257,0,0,"60-64",9007
65,361,246,0,0,"65-69",9007
65,232,172,0,0,"70-74",9007
65,158,110,1,0,"75-79",9007
65,78,56,0,0,"80-84",9007
65,42,20,0,0,"85-89",9007
65,7,6,0,0,"90+",9007
65,0,1,0,0,SemInfo,9007
66,1,19,0,0,"05-09",583
66,0,39,0,0,"10-14",583
66,3,66,0,0,"15-19",583
66,4,91,0,0,"20-24",583
66,12,94,0,0,"25-29",583
66,14,80,0,0,"30-34",583
66,12,57,0,0,"35-39",583
66,8,22,0,0,"40-44",583
66,4,21,0,0,"45-49",583
66,3,13,0,0,"50-54",583
66,2,9,0,0,"55-59",583
66,3,3,0,0,"60-64",583
66,1,2,0,0,"65-69",583
66,1,1,0,0,"70-74",583
66,5,1,0,0,"75-79",583
66,9,2,0,0,"80-84",583
66,1,0,0,0,"85-89",583
66,0,1,0,0,"90+",583
67,10,405,0,0,"00-04",3222
67,30,1004,0,0,"05-09",3222
67,57,1377,0,0,"10-14",3222
67,12,340,0,0,"15-19",3222
67,1,10,0,0,"20-24",3222
67,0,8,0,0,"25-29",3222
67,1,9,0,0,"30-34",3222
67,2,7,0,0,"35-39",3222
67,0,2,0,0,"40-44",3222
67,1,3,0,0,"45-49",3222
67,0,1,0,0,"50-54",3222
67,2,3,0,0,"55-59",3222
67,0,1,0,0,"60-64",3222
67,1,0,0,0,"65-69",3222
67,0,1,0,0,"70-74",3222
67,0,1,0,0,"80-84",3222
67,1,0,0,0,"85-89",3222
67,0,1,0,0,"90+",3222
68,628,399,0,0,"00-04",12084
68,857,609,0,0,"05-09",12084
68,764,574,0,0,"10-14",12084
68,656,462,0,0,"15-19",12084
68,508,386,0,0,"20-24",12084
68,467,445,0,0,"25-29",12084
68,449,465,0,0,"30-34",12084
68,416,446,0,0,"35-39",12084
68,388,397,0,0,"40-44",12084
68,401,367,0,0,"45-49",12084
68,385,336,1,0,"50-54",12084
68,299,232,0,0,"55-59",12084
68,254,186,0,0,"60-64",12084
68,192,112,0,0,"65-69",12084
68,104,67,0,0,"70-74",12084
68,39,40,0,0,"75-79",12084
68,23,7,0,0,"80-84",12084
68,6,1,0,0,"85-89",12084
68,5,2,0,0,"90+",12084
68,1,0,0,0,SemInfo,12084
69,20,15,0,0,"00-04",87633
69,25,12,0,0,"05-09",87633
69,11,11,0,0,"10-14",87633
69,15,20,0,0,"15-19",87633
69,58,31,0,0,"20-24",87633
69,107,50,0,0,"25-29",87633
69,262,147,0,0,"30-34",87633
69,682,371,0,0,"35-39",87633
69,1601,866,0,0,"40-44",87633
69,3350,1773,0,1,"45-49",87633
69,6004,3193,1,0,"50-54",87633
69,8627,4627,0,0,"55-59",87633
69,10220,5695,2,1,"60-64",87633
69,9034,5649,7,1,"65-69",87633
69,7033,4826,8,2,"70-74",87633
69,4572,3708,1,4,"75-79",87633
69,2436,2279,2,4,"80-84",87633
69,997,990,0,0,"85-89",87633
69,263,386,1,0,"90+",87633
70,264,214,0,0,"00-04",14969
70,569,526,0,0,"05-09",14969
70,586,530,0,1,"10-14",14969
70,432,440,0,0,"15-19",14969
70,370,458,0,0,"20-24",14969
70,354,489,0,1,"25-29",14969
70,420,484,0,0,"30-34",14969
70,387,465,1,1,"35-39",14969
70,415,428,0,0,"40-44",14969
70,430,444,0,0,"45-49",14969
70,532,488,0,0,"50-54",14969
70,592,406,0,0,"55-59",14969
70,585,437,1,0,"60-64",14969
70,548,474,2,0,"65-69",14969
70,501,407,2,1,"70-74",14969
70,470,399,2,1,"75-79",14969
70,255,263,3,0,"80-84",14969
70,115,119,0,0,"85-89",14969
70,40,41,0,0,"90+",14969
70,0,2,0,0,SemInfo,14969
71,39,42,0,0,"00-04",3606
71,46,47,0,0,"05-09",3606
71,86,76,0,0,"10-14",3606
71,102,57,0,0,"15-19",3606
71,89,44,0,0,"20-24",3606
71,83,49,0,0,"25-29",3606
71,129,50,0,0,"30-34",3606
71,169,91,0,0,"35-39",3606
71,234,120,1,0,"40-44",3606
71,269,141,0,0,"45-49",3606
71,312,151,0,0,"50-54",3606
71,372,137,1,0,"55-59",3606
71,275,117,1,0,"60-64",3606
71,165,51,0,0,"65-69",3606
71,81,18,0,0,"70-74",3606
71,18,5,0,0,"75-79",3606
71,3,2,0,0,"80-84",3606
72,1,1,0,0,"05-09",24
72,1,1,0,0,"15-19",24
72,0,1,0,0,"20-24",24
72,1,0,0,0,"25-29",24
72,0,1,0,0,"30-34",24
72,1,1,0,0,"35-39",24
72,2,1,0,0,"40-44",24
72,2,2,0,0,"45-49",24
72,1,3,0,0,"50-54",24
72,0,1,0,0,"55-59",24
72,1,2,0,0,"60-64",24
73,219,131,0,0,"00-04",8953
73,331,215,1,0,"05-09",8953
73,388,215,1,0,"10-14",8953
73,391,241,0,0,"15-19",8953
73,402,269,0,0,"20-24",8953
73,388,335,0,0,"25-29",8953
73,400,346,0,0,"30-34",8953
73,410,346,0,1,"35-39",8953
73,361,333,0,1,"40-44",8953
73,454,365,0,0,"45-49",8953
73,424,372,0,0,"50-54",8953
73,380,373,0,1,"55-59",8953
73,324,283,1,0,"60-64",8953
73,176,136,0,0,"65-69",8953
73,63,40,0,0,"70-74",8953
73,22,18,0,0,"75-79",8953
73,19,15,0,0,"80-84",8953
73,2,15,0,0,"85-89",8953
73,2,4,0,0,"90+",8953
74,5,2,0,0,"05-09",670
74,5,4,0,0,"10-14",670
74,15,15,0,0,"15-19",670
74,20,20,0,0,"20-24",670
74,16,20,0,0,"25-29",670
74,19,21,0,0,"30-34",670
74,27,26,0,0,"35-39",670
74,26,25,0,0,"40-44",670
74,22,21,0,0,"45-49",670
74,56,42,0,0,"50-54",670
74,56,46,0,0,"55-59",670
74,59,46,0,0,"60-64",670
74,37,13,0,0,"65-69",670
74,10,1,0,0,"70-74",670
74,2,1,0,0,"75-79",670
75,543,665,1,1,"00-04",19345
75,259,297,1,0,"05-09",19345
75,252,269,0,0,"10-14",19345
75,259,295,0,0,"15-19",19345
75,229,319,0,0,"20-24",19345
75,232,305,0,0,"25-29",19345
75,287,345,0,0,"30-34",19345
75,411,373,0,0,"35-39",19345
75,708,405,0,0,"40-44",19345
75,1211,454,2,0,"45-49",19345
75,2015,601,3,1,"50-54",19345
75,2415,770,6,0,"55-59",19345
75,2097,836,4,2,"60-64",19345
75,1278,616,4,0,"65-69",19345
75,456,229,0,0,"70-74",19345
75,62,49,0,0,"75-79",19345
75,10,6,0,0,"80-84",19345
75,4,3,0,0,"85-89",19345
75,3,2,0,0,"90+",19345
76,538,404,1,0,"00-04",115081
76,854,651,1,0,"05-09",115081
76,1318,1168,1,0,"10-14",115081
76,2070,1846,2,0,"15-19",115081
76,2814,2541,1,3,"20-24",115081
76,4412,4044,2,7,"25-29",115081
76,5746,5105,4,4,"30-34",115081
76,6602,5492,9,3,"35-39",115081
76,7530,5592,5,2,"40-44",115081
76,7953,5666,9,2,"45-49",115081
76,8486,5493,6,6,"50-54",115081
76,7894,4703,8,13,"55-59",115081
76,6024,3171,7,9,"60-64",115081
76,3363,1766,1,1,"65-69",115081
76,1258,661,0,1,"70-74",115081
76,356,221,0,0,"75-79",115081
76,92,62,0,0,"80-84",115081
76,17,28,0,0,"85-89",115081
76,31,27,0,0,"90+",115081
77,23,23,0,0,"00-04",52838
77,401,133,0,0,"05-09",52838
77,708,523,0,0,"10-14",52838
77,1014,1429,0,0,"15-19",52838
77,1182,1723,0,0,"20-24",52838
77,1296,2185,0,0,"25-29",52838
77,1441,3304,1,0,"30-34",52838
77,1609,4480,0,1,"35-39",52838
77,1584,4751,0,0,"40-44",52838
77,1597,4661,0,0,"45-49",52838
77,1557,4591,0,0,"50-54",52838
77,1335,3637,0,1,"55-59",52838
77,969,2321,0,0,"60-64",52838
77,650,1569,0,2,"65-69",52838
77,490,966,0,0,"70-74",52838
77,327,665,0,0,"75-79",52838
77,204,485,0,0,"80-84",52838
77,144,265,0,0,"85-89",52838
77,81,160,0,0,"90+",52838
77,0,1,0,0,SemInfo,52838
78,16,11,0,0,"00-04",12045
78,101,29,0,0,"05-09",12045
78,185,76,0,0,"10-14",12045
78,281,257,0,0,"15-19",12045
78,367,301,0,0,"20-24",12045
78,383,433,0,0,"25-29",12045
78,396,577,0,0,"30-34",12045
78,461,880,0,0,"35-39",12045
78,451,819,0,0,"40-44",12045
78,416,901,0,0,"45-49",12045
78,362,870,0,0,"50-54",12045
78,337,771,0,0,"55-59",12045
78,246,470,1,1,"60-64",12045
78,171,351,1,0,"65-69",12045
78,150,270,0,0,"70-74",12045
78,159,229,0,0,"75-79",12045
78,117,233,0,0,"80-84",12045
78,67,142,0,0,"85-89",12045
78,40,94,1,0,"90+",12045
79,5,3,0,0,"00-04",3445
79,46,28,0,0,"05-09",3445
79,62,69,0,0,"10-14",3445
79,68,108,0,0,"15-19",3445
79,91,169,0,0,"20-24",3445
79,115,231,0,0,"25-29",3445
79,130,269,0,0,"30-34",3445
79,136,264,0,0,"35-39",3445
79,123,262,0,0,"40-44",3445
79,117,239,0,0,"45-49",3445
79,107,214,0,0,"50-54",3445
79,74,187,0,0,"55-59",3445
79,70,109,0,0,"60-64",3445
79,29,47,0,0,"65-69",3445
79,24,60,0,0,"70-74",3445
79,11,32,0,0,"75-79",3445
79,4,14,0,0,"80-84",3445
79,0,2,0,0,"85-89",3445
80,19,6,0,0,"00-04",10084
80,9,15,0,0,"05-09",10084
80,27,44,0,0,"10-14",10084
80,90,143,0,0,"15-19",10084
80,95,250,0,0,"20-24",10084
80,145,368,0,0,"25-29",10084
80,181,524,0,1,"30-34",10084
80,218,705,0,0,"35-39",10084
80,263,967,0,0,"40-44",10084
80,333,920,0,0,"45-49",10084
80,429,560,0,0,"50-54",10084
80,454,418,0,0,"55-59",10084
80,393,425,2,0,"60-64",10084
80,380,326,0,0,"65-69",10084
80,298,285,0,0,"70-74",10084
80,239,226,2,0,"75-79",10084
80,141,165,0,0,"80-84",10084
80,68,76,1,0,"85-89",10084
80,24,37,0,0,"90+",10084
81,96,98,0,0,"00-04",19054
81,432,428,0,0,"05-09",19054
81,1072,1161,0,0,"10-14",19054
81,1304,1256,0,0,"15-19",19054
81,1036,1069,0,1,"20-24",19054
81,843,979,0,0,"25-29",19054
81,744,941,0,0,"30-34",19054
81,711,857,0,0,"35-39",19054
81,539,711,0,0,"40-44",19054
81,480,546,0,0,"45-49",19054
81,412,516,0,0,"50-54",19054
81,349,457,0,0,"55-59",19054
81,319,435,0,0,"60-64",19054
81,237,396,0,0,"65-69",19054
81,167,276,0,0,"70-74",19054
81,103,203,0,0,"75-79",19054
81,50,108,0,0,"80-84",19054
81,19,46,0,0,"85-89",19054
81,3,14,0,0,"90+",19054
82,4,3,0,0,"00-04",64
82,6,9,0,0,"05-09",64
82,8,6,0,0,"10-14",64
82,7,7,0,0,"15-19",64
82,3,2,0,0,"20-24",64
82,2,0,0,0,"25-29",64
82,3,3,0,0,"30-34",64
82,1,1,0,0,"35-39",64
82,0,1,0,0,"40-44",64
83,9,0,0,0,"00-04",96
83,29,1,0,0,"05-09",96
83,21,0,0,0,"10-14",96
83,16,1,0,0,"15-19",96
83,13,0,0,0,"20-24",96
83,1,0,0,0,"25-29",96
83,1,0,0,0,"30-34",96
83,3,0,0,0,"35-39",96
83,2,0,0,0,"40-44",96
84,2306,1412,2,0,"00-04",75843
84,12005,10506,0,1,"05-09",75843
84,27340,15405,0,0,"10-14",75843
84,4882,1095,0,0,"15-19",75843
84,318,186,0,0,"20-24",75843
84,190,181,0,0,"25-29",75843
84,164,212,0,0,"30-34",75843
84,148,212,0,0,"35-39",75843
84,147,197,0,0,"40-44",75843
84,106,145,0,0,"45-49",75843
84,87,135,0,0,"50-54",75843
84,74,109,0,0,"55-59",75843
84,55,80,0,0,"60-64",75843
84,23,46,0,0,"65-69",75843
84,22,26,0,0,"70-74",75843
84,20,11,0,0,"75-79",75843
84,6,10,0,0,"80-84",75843
84,3,5,0,0,"85-89",75843
84,11,6,0,0,"90+",75843
84,2,2,0,0,SemInfo,75843
85,627,810,0,0,"00-04",21624
85,516,685,0,0,"05-09",21624
85,332,468,0,0,"10-14",21624
85,155,286,0,0,"15-19",21624
85,96,174,0,0,"20-24",21624
85,102,322,0,0,"25-29",21624
85,79,394,0,0,"30-34",21624
85,110,529,0,0,"35-39",21624
85,160,852,0,0,"40-44",21624
85,225,1104,0,0,"45-49",21624
85,284,1687,0,0,"50-54",21624
85,425,2044,0,0,"55-59",21624
85,431,2114,0,0,"60-64",21624
85,463,1791,0,0,"65-69",21624
85,429,1567,0,0,"70-74",21624
85,413,1159,0,0,"75-79",21624
85,225,740,0,0,"80-84",21624
85,103,285,0,0,"85-89",21624
85,41,98,0,0,"90+",21624
85,0,4,0,0,SemInfo,21624
86,58,148,0,0,"00-04",358916
86,21,54,0,0,"05-09",358916
86,15,31,0,0,"10-14",358916
86,26,49,0,1,"15-19",358916
86,25,40,0,0,"20-24",358916
86,44,54,0,0,"25-29",358916
86,48,63,0,0,"30-34",358916
86,84,83,0,0,"35-39",358916
86,339,405,0,0,"40-44",358916
86,588,740,1,2,"45-49",358916
86,1481,1836,2,0,"50-54",358916
86,3621,4432,5,7,"55-59",358916
86,7277,9646,10,10,"60-64",358916
86,13025,19716,17,23,"65-69",358916
86,23133,38184,52,65,"70-74",358916
86,32265,58988,94,99,"75-79",358916
86,28613,58209,75,108,"80-84",358916
86,15249,34068,48,89,"85-89",358916
86,4219,11002,14,25,"90+",358916
86,0,4,0,0,SemInfo,358916
87,148,159,0,0,"00-04",276982
87,283,253,0,0,"05-09",276982
87,440,396,0,0,"10-14",276982
87,646,644,0,0,"15-19",276982
87,639,731,0,0,"20-24",276982
87,869,1009,0,0,"25-29",276982
87,1441,1773,0,0,"30-34",276982
87,2161,2742,0,0,"35-39",276982
87,3380,4892,0,0,"40-44",276982
87,6219,9572,0,2,"45-49",276982
87,9305,14985,0,0,"50-54",276982
87,12551,20783,0,0,"55-59",276982
87,16747,25670,1,0,"60-64",276982
87,18276,26218,1,3,"65-69",276982
87,16708,22281,1,1,"70-74",276982
87,13318,17444,3,1,"75-79",276982
87,7740,10716,3,1,"80-84",276982
87,3484,5296,0,0,"85-89",276982
87,992,1837,1,0,"90+",276982
87,1,1,0,0,SemInfo,276982
