"co_pcdt","sg_procedimento"
15,FLUD01
15,ISOT20
15,RISP1
15,SEVE800
16,ÁCID250
16,ÁCID500
16,ÁCID750
16,ACIT25
16,ADAL40
16,ALEN10
16,ALEN70
16,ALFA3000
16,ALFA4000
16,AMAN100
16,ATOR10
16,ATOR20
16,ATOR40
16,ATOR80
16,AZAT50
16,BETA1600000022
16,BEZA200
16,BEZA400
16,BIPE2
16,BROM25
16,BUDE200
16,BUDE200100
16,CABE05
16,CALC025
16,CALC10
16,CALC200
16,CICLOSP100
16,CICLOSP25
16,CICLOSP50
16,CIPR100
16,CLOZ100
16,CODE30
16,DANA100
16,DONE10
16,DONE5
16,ENTA200
16,ETOF500
16,FENO200
16,FENO250
16,FLUV20
16,FLUV40
16,FORM12
16,FORM12400
16,FORM1240060
16,FORM1260
16,FORM620060
16,GABA300
16,GABA400
16,GALA24
16,GENF600
16,GENF900
16,HIDR400
16,INFL1010
16,ISOT20
16,LAMO100
16,LEFL20
16,LEVO100
16,LEVO10025
16,LEVO20050
16,LEVO25
16,LEVO25025
16,LEVO50
16,LOVA10
16,LOVA20
16,LOVA40
16,MESA1000
16,MESA250
16,MESA400
16,MESA500
16,MESA800
16,MICO180
16,MICO360
16,MICO500
16,MORF10
16,MORF1060
16,OLAN10
16,OLAN5
16,PENI250
16,PRAM0125
16,PRAM025
16,PRAM1
16,PRAV10
16,PRAV20
16,PRAV40
16,QUET200
16,RALO60
16,RISE5
16,RISP1
16,RISP2
16,RIVA15
16,RIVA3
16,RIVA45
16,RIVA6
16,SACA1005
16,SALB100200
16,SELE5
16,SEVE800
16,SINV10
16,SINV20
16,SINV40
16,SINV5
16,SINV80
16,SIRO1
16,SIRO160
16,SIRO2
16,SULF500
16,TACR1
16,TACR5
16,TOPI25
16,TOXI500
16,ZIPR80
17,ALFA4000
17,FORM1260
17,ISOT20
17,SALB100200
17,TOXI100
17,TOXI500
19,ADAL40
19,ALEN10
19,ALFA4000
19,AZAT50
19,CALC025
19,CERT200
19,CICLOSP10
19,CICLOSP100
19,CICLOSP10050
19,CICLOSP25
19,CICLOSP50
19,CIPR250
19,CIPR500
19,HIDR400
19,INFL1010
19,LEFL20
19,MESA1000
19,MESA1100
19,MESA250
19,MESA3100
19,MESA400
19,MESA500
19,MESA800
19,METI500
19,METO252
19,METO2520
19,RISE35
19,SIRO1
19,SULF500
20,ALFA200
20,IMIG200
20,IMIG400
20,MIGL100
21,ALEN10
21,ALEN70
21,CALC100
21,CALC200
21,PAMI30
21,PAMI60
21,PAMI90
21,PRAV20
21,RISE35
22,ACIT25
22,ALEN10
22,ALFA4000
22,AMAN100
22,ATOR10
22,AZAT50
22,BIPE2
22,BIPE4
22,BROM25
22,BROM5
22,BUDE200100
22,CABE05
22,CALC025
22,CALC200
22,CICLOSP50
22,CLOZ25
22,DONE10
22,DONE5
22,ENTA200
22,FORM12
22,HIDR400
22,LAMO100
22,LEFL20
22,LEVO10025
22,LEVO20050
22,LEVO25025
22,LOVA20
22,META10
22,MICO360
22,MICO500
22,MORF1060
22,OLAN5
22,PANC10000
22,PRAM0125
22,PRAM025
22,PRAM1
22,QUET100
22,QUET200
22,RALO60
22,RISP2
22,RIVA15
22,RIVA3
22,RIVA45
22,RIVA6
22,SALB100200
22,SELE10
22,SELE5
22,SINV20
22,SULF500
22,TOLC100
22,TOLC200
22,TOPI100
22,TRIE5
22,ZIPR80
23,ALEN10
23,ALFA4000
23,CALC025
23,FORM12400
23,FORM1240060
23,LEFL20
23,PENI250
23,RISP2
23,SEVE800
23,TOXI500
24,ALFA4000
24,CALC025
24,CICLOSP50
24,DESF500
24,FORM12400
24,HIDR500
24,TOPI100
25,ALFA4000
25,CALC025
25,FILG300
25,IMUN05
25,IMUN10
25,IMUN25
25,IMUN30
25,IMUN50
25,IMUN60
25,MOLG300
25,PRAV20
26,BUDE200
26,BUDE200100
26,BUDE200200
26,BUDE400
26,FENO100200
26,FORM12
26,FORM12400
26,FORM1240060
26,FORM1260
26,FORM6200
