trimestre
200801
02
03
04
200901
02
03
04
201001
02
03
04
201101
02
03
04
201201
02
03
04
201301
02
03
04
201401
02
03
04
201501
02
03
04
201601
02
03
04
201701
02
03
04
201801
02
03
04
201901
02
03
04
202001
02
03
04
202101
02
03
04
202201
02
03
04
202301
02
03
04
202401
02
03
04
202501
02
03
04
202601
02
03
04
202701
02
03
04
202801
02
03
04
202901
02
03
04
203001
02
03
04
203101
02
03
04
203201
02
03
04
203301
02
03
04
203401
02
03
04
203501
02
03
04
203601
02
03
04
203701
02
03
04
203801
02
03
04
203901
02
03
04
204001
02
03
04
200801
02
03
04
200901
02
03
04
201001
02
03
04
201101
02
03
04
201201
02
03
04
201301
02
03
04
201401
02
03
04
201501
02
03
04
201601
02
03
04
201701
02
03
04
201801
02
03
04
201901
02
03
04
202001
02
03
04
202101
02
03
04
202201
02
03
04
202301
02
03
04
202401
02
03
04
202501
02
03
04
202601
02
03
04
202701
02
03
04
202801
02
03
04
202901
02
03
04
203001
02
03
04
203101
02
03
04
203201
02
03
04
203301
02
03
04
203401
02
03
04
203501
02
03
04
203601
02
03
04
203701
02
03
04
203801
02
03
04
203901
02
03
04
204001
02
03
04
204101
02
03
04
204201
02
03
04
204301
02
03
04
204401
02
03
04
204501
02
03
04
204601
02
03
04
204701
02
03
04
204801
02
03
04
204901
02
03
04
205001
02
03
04
205101
02
03
04
205201
02
03
04
205301
02
03
04
205401
02
03
04
205501
02
03
04
205601
02
03
04
205701
02
03
04
205801
02
03
04
205901
02
03
04
206001
02
03
04
206101
02
03
04
206201
02
03
04
206301
02
03
04
206401
02
03
04
206501
02
03
04
206601
02
03
04
206701
02
03
04
206801
02
03
04
206901
02
03
04
207001
02
03
04
207101
02
03
04
207201
02
03
04
207301
02
03
04
207401
02
03
04
207501
02
03
04
207601
02
03
04
207701
02
03
04
207801
02
03
04
207901
02
03
04
208001
02
03
04
208101
02
03
04
208201
02
03
04
208301
02
03
04
208401
02
03
04
208501
02
03
04
208601
02
03
04
208701
02
03
04
208801
02
03
04
208901
02
03
04
209001
02
03
04
209101
02
03
04
209201
02
03
04
209301
02
03
04
209401
02
03
04
209501
02
03
04
209601
02
03
04
209701
02
03
04
209801
02
03
04
209901
02
03
04
200801
02
03
04
200901
02
03
04
201001
02
03
04
201101
02
03
04
201201
02
03
04
201301
02
03
04
201401
02
03
04
201501
02
03
04
201601
02
03
04
201701
02
03
04
201801
02
03
04
201901
02
03
04
202001
02
03
04
202101
02
03
04
202201
02
03
04
202301
02
03
04
202401
02
03
04
202501
02
03
04
202601
02
03
04
202701
02
03
04
202801
02
03
04
202901
02
03
04
203001
02
03
04
203101
02
03
04
203201
02
03
04
203301
02
03
04
203401
02
03
04
203501
02
03
04
203601
02
03
04
203701
02
03
04
203801
02
03
04
203901
02
03
04
204001
02
03
04
204101
02
03
04
204201
02
03
04
204301
02
03
04
204401
02
03
04
204501
02
03
04
204601
02
03
04
204701
02
03
04
204801
02
03
04
204901
02
03
04
