"co_pcdt","sg_uf","nu_competencia_min","nu_competencia_max","qt_municipios_atendimento","qt_municipios_paciente","qt_secretarias","qt_cns_pacientes","qt_00a20","qt_21a40","qt_41a60","qt_61a00","qt_sexof","qt_sexom","qt_obito_paciente","qt_cid","qt_sigtap","qt_registros","qt_aprovada","vl_aprovado_ipca","qt_redesbr1","qt_redesbr2","qt_redesbr3","qt_redesbr4","qt_redesbr5"
1,BR,200801,201906,191,4581,27,421705,1955892,1283295,72909,6062,1459447,1858791,6,3,10,3318238,142817474,24306987.02,222468,84342,904636,428200,1671497
2,BR,200801,201906,173,2718,28,29832,39999,250569,355973,142269,510272,278543,74,5,46,788815,12337742,3059448035.23,41460,15451,149336,97921,477598
3,BR,200801,201906,113,481,27,1260,4401,4696,4119,3584,8306,8494,11,1,15,16800,912360,5043908.38,1257,504,4038,2838,7910
4,BR,200801,201906,100,625,27,2027,3283,3379,2869,1879,7396,4016,1,2,18,11412,258720,13956366.59,1334,275,2389,1259,6090
6,BR,200801,201906,94,381,20,1349,3088,12387,12185,4062,20573,11149,0,1,4,31722,1639076,3010127.96,518,442,7703,3378,19576
7,BR,200801,201906,126,903,27,4658,7262,18928,26882,9711,34006,28777,7,1,44,62783,3756932,18916720.48,1932,1669,18750,12295,28019
8,BR,200801,201906,167,2817,27,30871,13735,225509,559207,231119,517471,512102,36,2,20,1029573,7792214,64505829.81,35359,26664,234840,118462,608444
9,BR,200801,201906,67,203,18,430,261,2210,3245,618,3130,3204,0,1,2,6334,508333,1101141.05,379,200,1799,546,3349
10,BR,200801,201906,195,5214,28,318477,446468,2184119,7733179,5100612,12887516,2576944,1155,8,81,15464460,289781004,5007762651.52,718058,434025,3944887,1643679,8557868
11,BR,200801,201906,190,5116,28,653581,1964324,3045653,7896616,10110689,14520942,8496430,5073,3,112,23017372,372802490,312362762.75,926551,615015,6614874,3025712,11702366
12,BR,201605,201906,159,1554,27,10634,109426,10449,1804,664,25703,96640,0,5,4,122343,3756738,1775225.00,8356,5021,30051,11329,66285
13,BR,200801,200801,2,2,2,2,1,1,0,0,1,1,0,1,2,2,13,737.80,0,0,1,0,1
14,BR,200801,201906,166,1435,27,9500,26797,61939,102591,44055,169134,66248,17,3,29,235382,12520826,111437367.77,7786,4370,39794,27604,154142
15,BR,200801,201906,165,1831,28,9450,126833,181889,132039,37180,236114,241827,55,1,20,477941,1219658,123883361.72,22991,11596,104246,53495,282995
16,BR,200801,201906,186,4641,28,1184153,139509,1304120,12800262,19747604,19686310,14305469,2258,8,174,33991779,1077418363,547487694.35,576070,597522,6882509,4144255,21616851
17,BR,200801,201906,127,3140,27,39265,29869,65505,178371,221035,330198,164585,4,8,12,494783,389515,333813329.51,31233,14896,93845,43994,295366
18,BR,200801,201906,194,4800,29,356674,9392,6594,326343,11261342,7667300,3936396,7770,3,74,11603696,411065940,8441582073.94,557643,187352,2883418,1098279,6867229
19,BR,200801,201906,187,4029,28,91116,274745,1681300,1538003,540291,2197718,1836632,174,4,69,4034350,276613673,3265371430.65,161944,87176,893649,432785,2428901
20,BR,200801,201906,104,503,27,1315,26060,29156,15951,4847,44619,31395,10,1,5,76014,1011627,450389.52,7464,2950,13104,8593,43322
21,BR,200801,201906,64,165,19,380,114,62,1099,3226,1956,2545,2,1,15,4501,25216,137848.67,18,5,1587,428,2463
22,BR,200801,201906,192,4792,28,169513,24173,139158,1992057,7132017,4117517,5169897,3043,1,91,9287414,702733209,1045833161.38,490680,254633,2544839,916743,5050203
23,BR,200801,201906,131,639,26,1734,10955,31631,13798,1724,24948,33160,6,1,15,58108,4716228,9207898.36,4376,1663,12183,6188,33240
24,BR,200801,201906,181,2681,26,23919,356385,223313,81004,28655,351871,337489,27,5,9,689360,33855716,40228705.34,70434,33010,121758,70252,382162
25,BR,200801,201906,92,467,25,2506,15311,3720,4071,1530,10814,13835,8,19,19,24649,109319,13335674.22,1177,257,3166,2826,17223
26,BR,200801,201906,172,3932,27,158180,15769,62194,772450,2328040,1556687,1621769,1531,3,14,3178456,46472478,506.11,80371,111814,943396,363625,1673705
27,BR,200801,201906,187,4217,27,278074,34520,384853,1584036,1494476,2052030,1446072,3776,2,39,3498102,236222370,9576151.10,117699,117949,787897,334417,2076711
28,BR,200801,201906,153,3106,27,71283,11281,250265,63936,903,325865,526,5,7,18,326391,620375,149292269.93,12195,7162,74594,42705,188988
29,BR,200801,201906,195,4691,28,180897,2232820,2544493,2237532,781658,4202368,3594180,586,9,72,7796548,535028840,185866191.72,405185,216338,1937841,766566,4440171
30,BR,200801,201906,179,2680,27,17496,1706,32705,177125,161374,160546,212366,493,1,7,372912,18372333,233760013.73,28299,8361,80267,40068,214473
31,BR,200801,201906,178,2825,28,36843,60752,810886,731252,109153,1248116,463934,71,1,27,1712050,27803267,1249342553.92,48373,26509,286699,158925,1177999
32,BR,200801,201906,156,1647,28,7539,6545,32241,82659,39783,137952,23276,38,3,11,161228,7291864,29862799.89,7394,4378,38701,16215,91913
33,BR,200801,201906,135,3793,28,63978,183491,85062,91245,65610,186901,238521,33,15,13,425422,540103,453129340.90,31504,17560,106963,43156,220004
34,BR,200801,201906,185,3593,28,42046,31966,608414,754440,151723,562868,983675,34,1,25,1546543,23329277,141700275.35,80898,54979,404021,158777,827331
35,BR,200801,201906,134,839,25,2636,1737,14500,24095,5488,27280,18540,2,1,17,45820,1502399,2585582.49,1481,1377,17824,2375,21983
36,BR,200801,201906,200,5360,29,765328,2203137,11361288,11261806,6105393,14641842,16290158,3480,8,109,30932000,1485107537,4189088026.70,2293688,889309,6693341,3391038,17579616
37,BR,200801,201906,108,1094,25,3066,143628,33948,1659,364,86895,92707,0,2,9,179602,190219765,29174110.61,17736,5649,43555,20455,90705
38,BR,200801,201906,129,1679,26,7941,535828,99385,23173,10766,314899,354261,120,3,33,669160,115738741,2311259648.61,50940,12916,134566,64814,398943
39,BR,201308,201906,99,2512,24,277147,86862,352072,3128531,8853376,7132992,5287866,555,8,9,12420858,13506570,332019351.03,94682,462484,1771732,1643362,8403938
40,BR,200801,201807,45,104,14,241,1516,454,243,142,1383,972,4,1,6,2355,24366,357031.23,63,24,366,514,1388
41,BR,200801,201906,176,1823,27,10827,100938,116464,110397,60629,318172,70258,41,1,11,388430,16912986,70443203.57,18864,10053,70507,41802,241471
43,BR,200801,201906,148,3398,28,162738,13187,462778,1936706,698951,1300555,1811125,338,2,62,3111680,176879489,1836167086.82,54294,83649,490978,430018,2046339
45,BR,200801,201906,129,973,24,2802,65924,11534,9240,5747,49659,42788,10,1,15,92447,3118388,1423946.83,2303,2549,23836,12178,51288
46,BR,200801,201906,188,3851,28,76112,69438,905068,843521,134258,1544228,408066,39,1,18,1952294,22640054,3203511586.23,95367,41495,396198,222126,1179014
47,BR,201003,201906,170,1995,26,11545,65379,124888,144398,95687,308313,122042,184,3,6,430355,35399091,333609412.35,36407,11466,68240,39344,266803
48,BR,200801,201906,177,2625,27,25943,30249,144347,359705,275325,689134,120495,40,4,37,809629,51645325,53052822.30,32586,15424,159191,80741,513469
49,BR,200801,201906,168,1273,27,3815,32435,35806,33025,11699,56621,56345,7,7,5,112966,4369917,17761964.12,8981,3009,28688,12719,59017
50,BR,200801,201906,146,1211,28,7438,73068,64660,40058,13261,87886,103161,55,21,20,191047,1133624,208364193.53,5341,4475,30150,18882,130597
51,BR,201003,201906,113,688,21,1701,4979,8915,14431,10689,21166,17848,20,2,1,39014,1283403,463728.03,493,694,12378,3117,22063
52,BR,200801,201906,155,1525,25,11895,9117,39095,179703,134511,136163,226264,98,3,19,362427,41980474,73549950.67,8487,5275,58365,33961,249521
53,BR,200801,201906,155,2933,27,99352,16122,176138,183448,1431,376557,591,2,3,11,377148,251267,194693828.56,31142,6385,80170,77148,181508
54,BR,200801,201906,192,4384,28,84342,219397,1116280,1007848,224216,2306501,261261,117,4,45,2567762,116288760,437509691.68,183146,89732,566445,282179,1413456
55,BR,200801,201906,163,1385,28,6704,12584,95637,100995,57116,177804,88528,29,1,16,266332,24864531,176228437.01,14732,6387,53645,27448,161196
56,BR,200801,201906,118,917,26,9114,17468,11637,21229,18676,35615,33395,21,4,4,69010,491957,13067692.39,1805,1203,9401,6087,50271
57,BR,200801,201906,195,5495,28,555836,615627,5700824,13568371,13555453,14796521,18643968,15141,4,122,33440489,1200316140,2413241991.59,3050581,1099060,6504198,3792819,18876097
58,BR,200801,201906,171,4303,29,362376,34143,84507,2192967,7357705,9365875,303516,553,18,114,9669391,179571416,351379853.91,1030767,207386,2743257,1223202,4427034
59,BR,200801,201906,172,3368,27,55229,25292,572967,1308159,542302,814711,1634012,520,4,58,2448723,65938865,307982674.92,118916,140431,583688,344616,1241659
60,BR,200801,201906,186,3845,27,59858,71822,222905,524188,328098,517659,629358,54,4,37,1147017,38213688,188100224.06,87834,24895,277606,131667,619692
61,BR,200801,201906,160,3522,28,78340,1150673,8632,3860,5316,1080979,87513,15,1,29,1168492,1260788,470287090.28,80894,31061,244233,151815,654920
62,BR,201001,201906,155,1488,27,6755,14263,11423,11080,8361,28853,16274,16,1,11,45127,1343046,50650650.45,4863,2717,9408,7481,20437
63,BR,200801,201906,157,1757,27,17249,32219,48482,93886,77479,132622,119444,84,9,17,252066,27031212,29435119.72,19007,4823,52314,18753,157032
64,BR,200801,201906,190,4533,28,121043,197115,1433838,2022063,963643,2841056,1775621,208,10,56,4616677,422221636,442984076.95,180547,140113,1200986,484379,2555099
65,BR,200801,201906,141,1773,27,9420,5431,8431,11521,8267,14051,19608,9,1,11,33659,417099,77698947.05,2534,1608,8058,3200,18246
66,BR,200801,201906,78,276,19,679,1706,4862,1749,418,7932,803,0,3,2,8735,120403,113036.51,431,112,2544,910,4738
67,BR,200801,201906,149,1270,28,4276,123552,986,176,78,120724,4068,0,6,4,124792,2175563,121105210.22,6422,3848,23648,15512,73551
68,BR,200801,201906,179,2316,28,13361,169616,124418,93078,28197,181756,233554,19,9,27,415310,21048120,86640630.87,26635,13893,92876,42734,233377
69,BR,201308,201906,149,2120,25,89574,1465,18626,342529,691802,413404,641018,286,23,1,1054422,22668479,0.00,11513,27998,363156,91416,560333
70,BR,200801,201906,174,2191,27,15337,118688,89021,57808,60968,170025,156464,106,2,13,326489,18522348,820366445.63,17537,10471,66043,31799,195056
71,BR,200801,201906,139,871,26,4383,25276,55640,168482,83957,95660,237695,74,1,33,333355,21276292,63822368.55,17980,7529,39507,28233,235087
72,BR,200801,201906,24,45,10,54,47,378,291,274,356,634,2,1,12,990,54712,218304.87,79,6,206,63,636
73,BR,200801,201906,134,1449,26,11314,32021,50831,47563,13981,63662,80734,58,1,41,144396,6612868,31773802.55,4583,2394,21503,13544,101418
74,BR,200801,201906,66,237,19,796,1658,7877,12507,6522,12259,16305,2,1,17,28564,1697551,6878213.00,156,84,4256,3497,20478
75,BR,200801,201906,174,2380,27,24270,208948,247913,792876,612820,644917,1217643,294,2,59,1862560,169720323,439875890.87,57434,42736,280781,183341,1286713
76,BR,200801,201906,182,4645,27,122459,741265,4294160,6798456,2202338,5754165,8282093,1356,2,96,14036258,1214886162,3691433280.72,739775,342932,2661593,1603630,8604184
77,BR,201002,201906,174,3280,27,64297,56805,265267,394153,147204,605319,258110,64,7,17,863429,37791941,46483370.93,54406,30078,219903,74696,479528
78,BR,200801,201906,166,2107,27,16544,15418,76335,103693,49541,151768,93219,41,3,14,244987,11284204,14132296.09,19863,9805,74401,17948,121834
79,BR,200801,201906,141,935,26,3695,8736,40716,40139,11430,64728,36293,4,4,13,101021,6776963,29375556.30,4607,2476,22660,9826,61288
,BR,200801,201906,190,4453,28,192155,2194317,163072,287602,535978,1420546,1760458,159,387,263,3181004,53060243,2144500029.29,133701,76535,549418,477626,1933868
1,RO,200801,201906,4,37,3,3045,10768,10058,492,8,12052,9274,0,3,4,21326,709309,102697.57,428,781,20117,0,0
1,AC,200801,201711,2,12,1,626,2895,1880,94,6,2174,2701,0,3,4,4875,175098,25832.48,51,4824,0,0,0
1,AM,200801,201906,4,23,4,2913,13832,9760,583,65,11152,13088,0,3,4,24240,941245,139025.58,344,0,0,23896,0
1,RR,200801,201906,2,14,2,1608,4375,3803,245,66,5106,3389,0,2,4,8495,344887,87780.43,188,8307,0,0,0
1,PA,200801,201906,16,68,8,3285,11490,9310,432,41,10142,11167,0,3,4,21309,1000212,314227.48,1594,869,0,18846,0
1,AP,200802,201906,1,6,1,1140,2892,2468,93,12,2799,2666,0,3,3,5465,254653,85416.06,1,5464,0,0,0
1,TO,200801,201906,6,64,3,2744,12477,8909,476,12,10702,11172,0,3,3,21874,827253,199389.21,142,3238,1936,16558,0
1,MA,200801,201906,8,79,6,6446,22123,19265,569,86,22693,19350,0,3,4,42043,2342992,470901.93,4777,219,0,37047,0
1,PI,200801,201906,5,173,5,11441,57961,38155,1238,109,51772,45691,0,3,4,97463,3304143,651282.08,18000,0,79463,0,0
1,CE,200801,201906,28,183,9,11684,52627,32070,1672,162,39722,46821,0,3,4,86543,3794172,371059.09,45191,1336,11012,0,29002
1,RN,200801,201902,11,155,6,7486,28915,18622,756,91,23606,24778,0,3,4,48384,1549545,374001.60,12538,0,11301,0,24545
1,PB,200801,201906,8,212,5,10882,47780,30660,998,281,40439,39280,0,3,6,79719,2878484,576591.50,33886,0,45833,0,0
1,PE,200801,201906,7,166,6,9846,48800,34018,1133,138,40559,43530,0,3,3,84089,2984258,442661.19,9376,0,190,0,74523
1,AL,200801,201906,3,98,3,8382,34525,25376,877,41,31786,29033,0,3,4,60819,2653330,454783.05,16070,0,44749,0,0
1,SE,200801,201906,7,71,3,4670,25441,18869,561,113,21719,23265,0,3,4,44984,1340636,402863.91,10328,0,0,0,34656
1,BA,200801,201906,36,236,7,3150,10618,8061,422,73,8362,10812,0,3,4,19174,773967,187377.27,10821,364,550,0,7439
1,MG,200801,201906,36,804,7,61982,225774,155985,7530,472,175253,214508,0,3,4,389761,23045123,5898956.70,56901,18982,187474,19813,106591
1,ES,200801,201906,11,78,2,32149,138865,108165,6320,271,117135,136502,2,3,5,253637,12182529,1852487.49,0,18683,85092,0,149862
1,RJ,200801,201906,5,85,4,6031,21296,14164,1303,45,14763,22045,0,3,5,36808,3806129,505601.13,0,0,7304,1241,28263
1,SP,200801,201906,50,643,13,171543,865018,571821,36320,3096,619887,856376,2,3,5,1476263,57764044,8162437.40,0,10553,190900,231716,1043094
1,PR,200801,201906,26,392,4,19116,124974,53323,3749,286,67581,114751,2,3,4,182332,5539028,700931.99,1747,4448,99921,16199,60017
1,SC,200801,201906,2,285,2,17595,89602,49883,3045,222,56930,85822,0,3,5,142752,6677858,1272120.15,0,0,64572,29826,48354
1,RS,200801,201906,21,376,4,4390,17297,5564,499,150,6639,16871,0,3,5,23510,1320938,192955.36,0,0,12674,1061,9770
1,MS,200801,201906,4,69,4,3651,21392,9776,843,65,13738,18338,0,3,4,32076,1114900,141438.61,0,50,12895,19131,0
1,MT,200801,201903,1,53,1,1681,6837,4680,291,86,5750,6144,0,3,4,11894,571339,235477.39,56,1508,0,10330,0
1,GO,200801,201906,12,180,6,12288,46213,31845,2080,65,39401,40804,0,3,4,80205,4119389,323954.84,29,4716,28653,2536,44271
1,DF,200801,201906,5,19,3,2352,11105,6805,288,0,7585,10613,0,3,4,18198,802013,134735.53,0,0,0,0,11110
2,RO,200801,201906,1,15,1,78,113,402,507,173,749,446,0,4,18,1195,17903,4515472.12,277,291,627,0,0
2,AC,200801,201906,2,6,2,49,104,917,250,259,348,1182,0,4,13,1530,30170,11974318.38,68,1462,0,0,0
2,AM,200801,201906,3,21,3,291,769,2059,2179,898,3686,2219,0,5,22,5905,115238,10875337.49,341,0,0,5564,0
2,RR,200801,201906,2,7,2,87,34,338,125,22,391,128,0,3,10,519,7914,277802.74,15,504,0,0,0
2,PA,200801,201906,7,49,3,277,592,2066,2854,1596,4443,2665,3,5,20,7108,131198,52406063.62,1839,319,0,4950,0
2,AP,200903,201906,1,2,1,17,96,139,47,22,251,53,0,4,10,304,12151,55567.60,0,304,0,0,0
2,TO,200801,201906,7,25,3,84,412,1063,535,266,1704,572,0,4,17,2276,33913,7136800.64,35,439,868,934,0
2,MA,200801,201906,7,66,7,865,1259,5629,6666,2506,10851,5209,0,5,25,16060,257464,78545968.39,1861,321,0,13878,0
2,PI,200801,201906,5,38,5,230,216,1091,1395,401,2179,924,0,4,17,3103,67633,9149206.05,714,0,2389,0,0
2,CE,200801,201906,15,141,6,2165,2048,18137,21618,6835,34461,14177,0,5,26,48638,559977,237628713.93,10072,1332,1009,0,36225
2,RN,200801,201906,8,79,3,684,579,4321,3688,1440,6781,3250,0,5,23,10031,186197,28656581.76,1951,0,1819,0,6261
2,PB,200801,201906,5,148,4,937,691,5603,5545,2209,9792,4256,1,5,29,14048,199470,30233668.21,5915,0,8133,0,0
2,PE,200801,201906,9,56,7,364,697,4052,7584,2723,10180,4876,0,5,21,15056,158240,80256288.88,1436,0,268,0,13352
2,AL,200801,201906,4,48,4,246,505,1573,2041,945,3297,1768,2,5,20,5065,103511,13860812.41,1208,0,3857,0,0
2,SE,200801,201906,5,45,2,453,369,4636,4866,1192,8230,2833,0,5,20,11063,110798,23701657.61,2863,0,0,0,8200
2,BA,200801,201906,24,205,3,1172,504,6128,6655,3024,11205,5106,0,5,23,16311,176913,91009939.13,6872,403,2672,0,6364
2,MG,200801,201906,37,360,6,1863,2234,19407,34044,14856,43242,27299,0,5,28,70541,1268620,337105398.05,5366,1421,29885,4769,29100
2,ES,200801,201906,11,59,2,571,872,5210,7754,2916,8620,8133,6,5,25,16753,264948,43990062.07,0,624,4793,0,11336
2,RJ,200801,201906,3,71,3,1269,2218,11449,26890,12440,32818,20179,0,5,28,52997,1206110,311974914.91,0,0,5416,1581,46000
2,SP,200801,201906,35,538,5,14275,16203,115517,149971,57236,232425,106502,8,5,32,338927,4755802,1107637694.50,0,2467,44769,46868,244823
2,PR,200801,201906,26,193,3,873,3632,14534,21458,7287,27116,19795,36,5,28,46911,797265,105512323.47,400,1232,16951,1395,26933
2,SC,200801,201906,4,126,4,449,1527,6042,13383,4460,14917,10495,17,5,31,25412,516816,82655745.68,0,0,6831,4410,14171
2,RS,200801,201906,22,237,5,1504,1286,6892,13598,7225,16235,12766,0,5,32,29001,579482,89745387.21,0,0,11185,2460,15356
2,MS,200801,201906,3,41,2,241,782,2197,4337,1505,5858,2963,1,5,24,8821,130162,23168767.43,0,310,2015,6496,0
2,MT,200801,201906,4,53,3,422,593,2486,2265,694,3728,2310,0,5,24,6038,135477,18770705.04,138,1516,0,4384,0
2,GO,200801,201906,7,71,4,298,524,3781,6939,3745,7277,7712,0,5,23,14989,194866,74299346.27,89,2506,5849,232,6313
2,DF,200801,201906,6,18,4,265,1140,4900,8779,5394,9488,10725,0,4,21,20213,319504,184303491.64,0,0,0,0,13164
3,RO,200802,201906,1,5,1,9,43,96,0,0,49,90,0,1,8,139,7751,46711.26,13,1,125,0,0
3,AC,201205,201304,1,2,1,2,0,12,0,4,12,4,0,1,1,16,498,2385.78,0,16,0,0,0
3,AM,200803,201906,1,3,1,33,93,81,41,17,99,133,0,1,12,232,12382,56601.21,13,0,0,219,0
3,RR,201005,201704,1,1,1,4,0,7,5,0,10,2,0,1,2,12,343,2086.35,0,12,0,0,0
3,PA,200801,201906,3,28,2,105,558,357,208,70,550,643,0,1,11,1193,68161,308971.16,336,53,0,804,0
3,AP,201105,201901,2,1,2,2,9,0,0,27,0,36,0,1,3,36,1426,12547.16,0,36,0,0,0
3,TO,201001,201603,1,3,1,4,28,0,0,3,4,27,0,1,3,31,2838,13822.25,7,0,24,0,0
3,MA,200801,201906,2,2,2,11,13,104,14,4,69,66,0,1,7,135,6166,77803.04,0,37,0,98,0
3,PI,200801,201906,2,10,2,16,163,64,110,0,286,51,0,1,8,337,19254,69856.05,187,0,150,0,0
3,CE,200801,201906,2,28,1,87,323,154,225,70,430,342,0,1,10,772,36990,217851.41,242,15,13,0,502
3,RN,200801,201906,4,19,2,41,78,84,82,122,186,180,0,1,12,366,21737,114959.59,102,0,119,0,145
3,PB,200802,201906,2,12,1,22,68,46,22,33,113,56,3,1,10,169,8831,55907.87,81,0,88,0,0
3,PE,200801,201906,1,2,1,6,2,2,3,26,26,7,0,1,3,33,896,6797.93,2,0,0,0,31
3,AL,200801,201906,1,1,1,5,2,5,21,0,4,24,0,1,4,28,2135,11740.91,0,0,28,0,0
3,SE,200908,201404,1,1,1,2,18,0,0,0,12,6,0,1,3,18,720,3666.76,0,0,0,0,18
3,BA,201608,201905,9,16,1,28,125,24,42,13,90,114,0,1,4,204,12935,57379.16,99,0,12,0,93
3,MG,200801,201906,19,39,2,57,122,225,107,398,447,405,0,1,11,852,58025,320334.50,151,102,388,19,192
3,ES,200801,201906,6,7,1,10,10,14,21,19,29,35,0,1,7,64,2989,20778.30,0,0,13,0,51
3,RJ,200801,201905,2,13,2,28,34,160,151,39,273,111,0,1,7,384,27487,98887.41,0,0,64,9,311
3,SP,200801,201906,27,142,2,497,1273,1095,1651,1600,2799,2820,0,1,12,5619,260666,1649034.78,0,32,881,800,3906
3,PR,200801,201906,15,29,2,55,297,462,221,475,609,846,6,1,12,1455,70652,319450.00,0,2,630,191,632
3,SC,200801,201906,1,38,1,56,353,672,803,278,926,1180,2,1,13,2106,120798,678108.23,0,0,960,185,961
3,RS,200801,201906,13,36,1,65,114,129,141,214,385,213,0,1,13,598,41937,280603.52,0,0,180,47,371
3,MS,200801,201906,1,6,1,17,141,18,25,14,162,36,0,1,11,198,7802,53426.08,0,0,41,157,0
3,MT,200809,201906,1,15,1,39,197,150,51,53,185,266,0,1,8,451,36925,152668.09,24,118,0,309,0
3,GO,200801,201906,2,14,2,40,178,472,54,48,397,355,0,1,10,752,45715,233193.81,0,80,322,0,350
3,DF,200801,201905,2,8,1,22,159,263,121,57,154,446,0,1,5,600,36301,178335.77,0,0,0,0,347
4,RO,200804,201806,1,4,1,18,19,3,22,6,24,26,0,2,4,50,347,34018.80,1,3,46,0,0
4,AC,201109,201710,1,3,1,4,5,5,0,0,8,2,0,2,1,10,85,4627.18,0,10,0,0,0
4,AM,200803,201906,1,4,1,55,26,55,10,22,89,24,0,2,5,113,2650,460033.56,2,0,0,111,0
4,RR,200806,201807,1,1,1,6,8,19,0,0,17,10,0,2,2,27,124,28889.64,0,27,0,0,0
4,PA,200907,201903,4,21,1,69,68,45,25,7,91,54,0,2,4,145,2266,378210.91,41,6,0,98,0
4,AP,201001,201701,1,1,1,5,8,0,6,6,17,3,0,2,2,20,73,12694.86,0,20,0,0,0
4,TO,201609,201904,2,2,1,2,0,10,0,0,10,0,0,1,1,10,75,44031.01,0,0,5,5,0
4,MA,200801,201906,2,11,2,67,105,140,32,30,272,35,0,2,7,307,3947,205417.12,63,0,0,244,0
4,PI,201602,201906,2,3,2,8,9,25,5,0,39,0,0,2,3,39,838,58685.93,5,0,34,0,0
4,CE,200802,201906,2,61,1,199,188,281,257,143,613,256,0,2,10,869,49340,493659.91,321,66,49,0,433
4,RN,200809,201906,5,17,3,33,37,21,41,37,89,47,0,2,4,136,2057,218938.39,33,0,36,0,67
4,PB,200801,201906,3,25,2,72,54,83,90,85,238,74,0,2,8,312,4828,227292.42,115,0,197,0,0
4,PE,200910,201906,2,5,2,24,25,84,14,30,117,36,0,2,7,153,2854,130079.28,2,0,0,0,151
4,AL,200801,201906,2,38,2,166,175,270,148,90,504,179,0,2,4,683,8545,1182344.38,174,0,509,0,0
4,SE,201806,201808,1,2,1,2,10,0,0,0,10,0,0,2,1,10,53,38050.25,5,0,0,0,5
4,BA,200801,201805,1,68,1,313,709,507,411,110,782,956,0,2,8,1738,18964,1917528.76,532,4,41,0,1161
4,MG,200903,201906,20,33,2,45,93,132,27,61,184,129,0,2,8,313,15000,293887.94,15,1,165,31,101
4,ES,200808,201906,7,13,2,19,25,21,19,12,58,19,0,2,6,77,1373,116002.68,0,1,23,0,53
4,RJ,200806,201906,3,24,3,101,57,70,31,59,135,82,0,2,5,217,8436,561012.35,0,0,10,18,189
4,SP,200801,201906,27,167,2,591,1171,1298,1402,734,3029,1576,0,2,13,4605,107339,5552642.51,0,30,705,382,3488
4,PR,200801,201906,14,37,2,66,91,41,80,63,194,81,0,2,10,275,5638,258405.42,0,4,110,10,151
4,SC,200801,201906,1,25,1,29,111,106,116,77,230,180,1,2,7,410,9629,492350.71,0,0,292,31,87
4,RS,201211,201906,8,11,2,12,2,22,27,14,42,23,0,2,7,65,2592,68939.33,0,0,30,16,19
4,MS,200802,201902,2,9,2,18,39,11,6,18,40,34,0,2,3,74,906,65398.14,0,0,15,59,0
4,MT,200809,201905,2,23,2,60,122,41,53,123,251,89,0,2,5,340,3319,679877.26,25,80,0,235,0
4,GO,200802,201906,3,13,2,33,78,69,32,43,165,57,0,2,6,222,3654,342945.43,0,23,122,19,58
4,DF,201410,201906,2,4,1,16,48,20,15,109,148,44,0,2,6,192,3788,90402.42,0,0,0,0,127
6,RO,200801,200811,1,1,1,1,0,0,3,0,0,3,0,1,1,3,630,1124.46,3,0,0,0,0
6,AC,200812,201506,1,2,1,8,57,78,17,93,143,102,0,1,2,245,11030,20440.69,0,245,0,0,0
6,TO,200906,201711,2,2,2,3,0,4,6,0,2,8,0,1,3,10,0,0.00,0,0,6,4,0
6,MA,201403,201608,2,2,2,3,4,0,21,0,21,4,0,1,1,25,764,1302.97,13,0,0,12,0
6,PI,201011,201611,1,3,1,5,3,29,27,5,61,3,0,1,1,64,2710,5033.78,19,0,45,0,0
6,PB,201009,201112,2,3,1,2,0,2,6,0,6,2,0,1,1,8,120,248.82,0,0,8,0,0
6,PE,200804,201812,3,9,3,21,20,161,159,37,183,194,0,1,2,377,12170,22812.75,74,0,1,0,302
6,AL,200804,201604,2,2,2,4,0,15,0,91,106,0,0,1,2,106,15140,27851.64,1,0,105,0,0
6,SE,200801,201404,2,1,2,2,0,9,1,0,10,0,0,1,2,10,250,477.24,0,0,0,0,10
6,BA,200801,201905,3,12,2,50,151,421,135,32,434,305,0,1,2,739,61162,111926.02,68,0,12,0,659
6,MG,200801,201906,21,66,2,173,479,1514,1589,593,2789,1386,0,1,2,4175,280755,525210.48,340,105,2115,327,1288
6,ES,200801,201906,9,20,1,59,187,700,835,273,1165,830,0,1,2,1995,90824,160948.58,0,43,714,0,1238
6,RJ,200801,201902,2,31,2,260,183,582,601,380,910,836,0,1,2,1746,143874,263051.68,0,0,152,28,1566
6,SP,200801,201906,22,133,1,548,1281,5842,6599,1289,10142,4869,0,1,3,15011,660455,1206800.05,0,28,2015,1955,11013
6,PR,200801,201906,16,29,2,74,263,935,788,544,1319,1211,0,1,2,2530,104762,185456.09,0,21,813,41,1655
6,SC,200804,201906,2,23,2,50,368,1315,632,387,2217,485,0,1,2,2702,139852,260797.07,0,0,1440,870,392
6,RS,200801,201906,10,32,1,67,36,507,494,299,620,716,0,1,4,1336,99264,186614.71,0,0,172,135,1029
6,MS,201006,201906,1,5,1,10,13,12,80,0,88,17,0,1,1,105,3233,6025.56,0,0,105,0,0
6,MT,200809,200901,1,1,1,2,0,0,6,0,6,0,0,1,1,6,780,1370.08,0,0,0,6,0
6,GO,200801,201609,1,1,1,3,0,87,23,0,35,75,0,1,2,110,3816,6603.12,0,0,0,0,110
6,DF,201311,201905,2,3,1,16,43,174,163,39,316,103,0,1,2,419,7485,16032.17,0,0,0,0,314
7,RO,200801,201011,3,3,3,4,0,2,10,6,3,15,0,1,3,18,1200,2069.72,13,0,5,0,0
7,AC,200801,201308,1,1,1,25,44,40,41,44,88,81,0,1,6,169,8051,23100.16,0,169,0,0,0
7,AM,200902,201903,1,3,1,20,26,105,18,49,79,119,0,1,11,198,13958,59835.39,33,0,0,165,0
