"co_pcdt","sg_uf","nu_competencia_min","nu_competencia_max","qt_municipios_atendimento","qt_municipios_paciente","qt_secretarias","qt_cns_pacientes","qt_00a20","qt_21a40","qt_41a60","qt_61a00","qt_sexof","qt_sexom","qt_obito_paciente","qt_cid","qt_sigtap","qt_registros","qt_aprovada","vl_aprovado_ipca","qt_redesbr1","qt_redesbr2","qt_redesbr3","qt_redesbr4","qt_redesbr5"
24,AP,200804,201906,3,7,3,117,1659,707,80,34,1118,1362,0,3,2,2480,103882,122382.25,56,2424,0,0,0
24,TO,200801,201906,9,38,4,156,1954,1798,366,0,2228,1890,0,4,2,4118,105940,127394.05,564,707,2382,465,0
24,MA,200804,201906,4,119,4,897,11503,3713,415,39,7679,7991,0,5,2,15670,833221,994444.97,5479,603,0,9588,0
24,PI,200802,201906,6,73,5,339,4188,1358,358,47,2900,3051,0,5,2,5951,182875,213350.67,1737,0,4214,0,0
24,CE,200909,201906,10,135,3,759,12328,6677,2050,563,10696,10922,0,5,2,21618,702943,841061.95,9918,763,947,0,9990
24,RN,200801,201906,11,62,4,325,2695,2121,385,155,2493,2863,0,5,2,5356,209289,249103.98,1883,0,1188,0,2285
24,PB,200801,201906,5,82,3,259,3786,2802,453,435,3899,3577,0,5,3,7476,283618,336340.69,2969,0,4507,0,0
24,PE,200801,201906,8,20,4,766,11499,5691,2085,272,10006,9541,0,5,2,19547,316613,380762.25,168,0,200,0,19179
24,AL,200801,201906,2,54,2,205,3278,1361,363,0,2827,2175,0,4,2,5002,169621,200540.21,1933,0,3069,0,0
24,SE,200801,201906,5,55,3,433,6419,3600,890,109,5356,5662,0,4,2,11018,522347,617581.98,4963,0,0,0,6055
24,BA,200801,201906,37,297,6,3665,27945,15358,5427,787,23738,25779,0,5,2,49517,2568248,3051237.79,22629,906,6470,0,19512
24,MG,200801,201906,37,460,6,2802,34787,29887,10333,638,39506,36139,0,5,2,75645,6235408,7434174.66,11603,3823,26054,6904,27261
24,ES,200801,201906,12,60,2,597,11958,10448,3371,588,13648,12717,2,5,4,26365,1201534,1441486.82,0,2733,7188,0,16444
24,RJ,200801,201906,5,74,4,1978,29214,15603,7983,668,25323,28145,0,5,6,53468,2642803,3114220.50,0,0,3385,2179,47904
24,SP,200801,201906,47,444,4,6528,109479,73729,29603,19523,122513,109821,16,5,3,232334,11589058,13757500.46,0,2906,26260,30898,172270
24,PR,200801,201906,23,150,2,525,11967,10004,4051,1404,14222,13204,7,5,2,27426,919094,1086282.08,126,399,11667,747,14487
24,SC,200801,201906,4,51,4,132,1495,1719,823,321,1950,2408,2,5,2,4358,159492,187970.75,0,0,970,1785,1603
24,RS,200801,201906,19,140,2,547,4529,4755,2485,1723,6752,6740,0,5,3,13492,1112912,1323769.45,0,0,4543,602,8347
24,MS,200801,201906,6,39,5,188,3613,2281,609,190,3802,2891,0,5,2,6693,290928,342042.72,0,569,837,5287,0
24,MT,200806,201906,5,54,5,339,3404,1568,513,161,2996,2650,0,5,2,5646,233172,280956.75,232,1838,0,3576,0
24,GO,200801,201906,5,146,3,1271,33327,11022,3802,184,23155,25180,0,5,2,48335,1903341,2255881.28,1882,13542,17212,1132,14567
24,DF,200801,201906,13,18,8,874,15791,13456,4091,664,17829,16173,0,4,2,34002,1116834,1331825.53,0,0,0,0,22258
25,RO,201602,201602,1,1,1,1,0,1,0,0,0,1,0,1,1,1,60,10811.10,0,0,1,0,0
25,AC,200803,201904,1,1,1,8,9,62,4,0,60,15,0,4,3,75,625,23445.28,0,75,0,0,0
25,AM,200801,201906,2,2,2,53,235,81,44,8,200,168,0,5,7,368,2906,512808.51,5,0,0,363,0
25,RR,200810,201702,1,1,1,9,3,29,5,3,13,27,0,6,4,40,123,5284.11,0,40,0,0,0
25,PA,200810,201906,1,4,1,11,30,8,0,0,8,30,0,2,2,38,449,72763.48,21,0,0,17,0
25,AP,200904,201311,1,1,1,5,12,5,0,0,10,7,0,2,2,17,93,4036.33,0,17,0,0,0
25,MA,200801,201904,1,9,1,57,11,131,48,0,72,118,0,9,4,190,1527,159546.18,17,15,0,158,0
25,PI,200803,201603,1,2,1,6,0,5,8,0,0,13,0,3,2,13,197,16972.12,1,0,12,0,0
25,CE,200801,201906,4,14,1,117,193,72,138,97,297,203,0,10,7,500,5559,790182.61,62,3,35,0,400
25,RN,200802,201906,2,21,1,79,17,121,109,3,82,168,0,10,3,250,812,31788.84,55,0,16,0,179
25,PB,200801,201906,2,19,1,55,188,139,98,23,85,363,0,6,7,448,1992,405357.81,130,0,318,0,0
25,PE,200801,201906,2,37,2,158,4977,101,4,5,2320,2767,0,5,5,5087,5572,858144.57,710,0,57,0,4320
25,AL,200801,201511,1,5,1,17,66,4,9,0,59,20,0,5,4,79,250,27400.31,6,0,73,0,0
25,SE,200801,200908,1,1,1,16,5,19,23,21,46,22,0,1,3,68,1282,68982.61,0,0,0,0,68
25,BA,201107,201608,1,27,1,99,199,195,115,12,227,294,0,1,2,521,3358,466115.76,132,7,7,0,375
25,MG,200801,201905,15,32,2,69,707,333,231,18,490,799,0,12,10,1289,9940,1084789.81,34,3,473,18,761
25,ES,200804,201906,4,11,1,35,643,3,48,3,498,199,2,8,6,697,2901,547192.55,0,3,513,0,181
25,RJ,200801,201903,1,13,1,42,151,25,85,6,155,112,0,9,6,267,1973,187274.13,0,0,30,71,166
25,SP,200801,201906,26,175,1,1423,5428,1870,2849,1187,4959,6392,0,18,15,11351,54861,5082053.77,0,81,670,1481,9119
25,PR,200801,201812,12,31,1,94,1418,115,44,12,579,1010,4,8,7,1589,5374,684829.50,4,4,623,0,958
25,SC,200801,201703,1,14,1,25,411,113,15,0,163,376,2,6,6,539,2673,468449.22,0,0,4,254,281
25,RS,200801,201906,13,31,2,59,286,178,140,111,195,520,0,4,9,715,4732,1648058.88,0,0,233,78,404
25,MS,200801,201709,1,11,1,32,205,42,26,0,167,106,0,6,4,273,450,23461.26,0,3,96,174,0
25,MT,200801,201811,1,2,1,35,117,63,25,13,126,92,0,3,2,218,1483,117427.82,0,6,0,212,0
25,GO,200909,201311,1,2,1,3,0,5,3,8,3,13,0,3,3,16,127,38497.66,0,0,5,0,11
26,RO,201308,201906,3,51,3,2348,120,1497,12191,26398,19620,20586,15,3,6,40206,1477583,0.00,4434,5179,30593,0,0
26,AC,201308,201906,5,9,4,248,4,76,935,3353,2349,2019,2,3,5,4368,170101,0.00,64,4304,0,0,0
26,AM,201309,201906,4,41,4,1111,48,117,2337,10071,6188,6385,4,3,6,12573,13159,0.00,992,0,0,11581,0
26,RR,201602,201607,1,6,1,30,3,4,62,60,84,48,0,1,3,132,3420,0.00,11,121,0,0,0
26,PA,201401,201906,8,15,6,19,0,0,29,172,45,156,0,2,3,201,605,0.00,185,13,0,3,0
26,AP,201606,201906,1,9,1,165,5,37,371,630,582,461,0,3,4,1043,1593,0.00,21,1022,0,0,0
26,TO,201308,201906,7,29,4,123,29,0,207,1385,763,858,2,3,5,1621,36424,0.00,59,548,206,808,0
26,MA,201409,201906,6,6,5,67,0,14,141,580,354,381,0,3,3,735,36428,0.00,570,66,0,99,0
26,PI,201310,201906,3,7,2,35,0,2,41,456,267,232,0,3,5,499,11715,0.00,13,0,486,0,0
26,CE,201309,201906,7,148,2,3036,50,877,9255,37305,25788,21699,6,3,6,47487,1648631,0.00,13374,2888,2753,0,28472
26,RN,201309,201906,7,38,2,144,13,36,369,1257,867,808,1,3,4,1675,51383,0.00,518,0,195,0,962
26,PB,201310,201906,10,150,5,1244,155,767,5431,16202,11529,11026,7,3,10,22555,530281,0.00,12851,0,9704,0,0
26,PE,201308,201906,14,120,7,4661,202,2175,35872,97033,64982,70300,22,3,8,135282,4139586,0.00,403,0,54,0,134825
26,AL,201308,201906,4,54,4,418,49,79,1651,4845,3241,3383,4,3,4,6624,294249,0.00,2694,0,3930,0,0
26,SE,201311,201906,9,73,3,1421,73,511,9647,24112,16652,17691,10,3,7,34343,1468936,0.00,15141,0,0,0,19202
26,BA,201308,201906,36,286,6,2022,342,128,2067,6540,3999,5078,0,3,7,9077,105368,0.00,7148,131,292,0,1506
26,MG,201308,201906,38,706,4,12219,662,2462,44219,163287,90157,120473,0,3,11,210630,8506169,0.00,16596,7708,131633,11000,43693
