"co_pcdt","nu_trimestre","sg_procedimento","qt_sexo_f","qt_idade_paciente60","qt_st_redesbr3","qt_ibge_gestao","qt_aprovada","qt_dispensacao","qt_cns_paciente"
2,"200801",ALFA2180,1,1,1,1,4,1,1
2,"200801",AZAT50,317,60,457,9,32163,463,198
2,"200801",BROM25,1262,142,1540,22,94187,1628,734
2,"200801",CABE05,4243,278,4924,26,57807,5193,2584
2,"200801",CICLOSP100,242,63,506,18,48707,542,211
2,"200801",CICLOSP10050,15,1,46,9,108,49,28
2,"200801",CICLOSP25,55,24,103,10,6524,120,42
2,"200801",CICLOSP50,129,54,276,13,19543,294,118
2,"200801",DESM0125,1,0,1,1,1,1,1
2,"200801",FILG300,121,61,247,13,3297,257,128
2,"200801",LEUP375,2,0,2,1,2,2,2
2,"200801",LEVO100,3,0,3,1,62,3,1
2,"200801",LEVO50,3,0,2,2,90,3,2
2,"200801",MOLG300,0,0,1,1,5,1,1
2,"200801",OCTR01,72,14,106,9,3945,112,53
2,"200801",OCTR10,284,75,393,13,1221,411,154
2,"200801",OCTR20,875,342,1442,24,3501,1512,623
2,"200801",OCTR30,748,225,1165,18,5439,1213,413
2,"200801",RIBA250,2,0,6,1,616,6,2
2,"200801",RISP2,3,0,3,1,90,3,1
2,"200801",SEVE800,0,0,1,1,180,1,1
2,"200801",SINV20,0,0,2,1,60,2,1
2,"200801",SINV40,2,0,2,1,120,2,1
2,"200802",AZAT50,276,47,416,9,27937,418,184
2,"200802",BROM25,1399,177,1690,23,101740,1793,802
2,"200802",CABE05,4667,341,5521,25,63680,5826,2816
2,"200802",CICLOSP10,1,0,1,1,60,1,1
2,"200802",CICLOSP100,228,48,528,17,49676,567,221
2,"200802",CICLOSP10050,25,0,52,9,898,54,26
2,"200802",CICLOSP25,63,29,125,10,7236,134,43
2,"200802",CICLOSP50,127,65,273,14,19090,291,115
2,"200802",FILG300,105,63,232,11,3124,236,114
2,"200802",OCTR01,68,20,103,8,4906,107,48
2,"200802",OCTR10,268,78,386,13,1123,391,159
2,"200802",OCTR20,962,333,1519,25,4103,1574,633
2,"200802",OCTR30,893,253,1413,19,6717,1472,473
2,"200803",AZAT50,293,53,428,9,29218,429,179
2,"200803",BROM25,1377,177,1622,22,97239,1752,785
2,"200803",CABE05,5211,378,6143,25,70872,6484,3028
2,"200803",CICLOSP100,278,59,554,17,51331,606,225
2,"200803",CICLOSP10050,27,0,57,5,245,61,29
2,"200803",CICLOSP25,95,36,165,11,10177,180,56
2,"200803",CICLOSP50,135,60,303,13,20744,321,127
2,"200803",FILG300,145,78,285,12,3733,290,124
2,"200803",MOLG300,1,0,1,1,5,1,1
2,"200803",OCTR01,39,9,61,8,3609,63,32
2,"200803",OCTR10,268,75,379,10,1295,390,148
2,"200803",OCTR20,1016,352,1662,25,4303,1728,670
2,"200803",OCTR30,922,258,1472,18,7504,1526,501
2,"200804",AZAT50,279,43,400,9,28220,405,170
2,"200804",BROM25,1255,180,1479,21,93649,1594,680
2,"200804",CABE05,5180,396,6083,26,76010,6430,3031
2,"200804",CICLOSP100,290,77,613,20,57139,670,274
2,"200804",CICLOSP10050,38,1,67,8,185,72,32
2,"200804",CICLOSP25,77,32,150,11,10443,170,51
2,"200804",CICLOSP50,141,49,293,14,21143,314,124
2,"200804",FILG300,129,71,231,14,3856,241,98
2,"200804",OCTR01,43,9,56,7,3429,62,24
2,"200804",OCTR10,265,84,398,12,1899,406,149
2,"200804",OCTR20,1062,383,1702,25,4627,1777,704
2,"200804",OCTR30,1016,265,1588,20,7819,1656,531
2,"200901",AZAT50,266,50,385,8,26845,391,164
2,"200901",BROM25,1031,173,1258,22,79536,1359,601
2,"200901",CABE05,5109,400,6074,27,70258,6408,2976
2,"200901",CICLOSP100,318,78,657,21,61746,719,294
2,"200901",CICLOSP10050,38,1,81,11,236,85,39
2,"200901",CICLOSP25,65,26,130,13,8775,149,53
2,"200901",CICLOSP50,137,35,287,15,19333,303,130
2,"200901",FILG300,130,65,254,11,3402,258,115
2,"200901",OCTR01,55,13,73,8,4034,77,32
2,"200901",OCTR10,233,68,337,12,1000,342,130
2,"200901",OCTR20,1208,430,1869,25,5878,1975,734
2,"200901",OCTR30,1054,263,1596,20,7259,1653,524
2,"200902",AZAT50,281,62,394,8,27470,401,166
2,"200902",BROM25,1062,154,1288,24,77333,1389,609
2,"200902",CABE05,5106,463,6191,26,73574,6545,3018
2,"200902",CICLOSP100,295,72,623,19,61373,683,288
2,"200902",CICLOSP10050,57,3,83,11,279,84,39
2,"200902",CICLOSP25,75,27,154,12,8567,163,56
2,"200902",CICLOSP50,134,60,301,16,18788,307,127
2,"200902",FILG300,144,80,277,13,3189,286,121
2,"200902",OCTR01,52,16,77,7,3709,82,28
2,"200902",OCTR10,242,69,352,12,1106,359,130
2,"200902",OCTR20,1292,458,1997,24,6018,2096,756
2,"200902",OCTR30,1132,334,1758,20,8892,1836,555
2,"200903",AZAT50,294,70,408,9,29136,421,178
2,"200903",BROM25,1059,167,1290,20,77839,1389,607
2,"200903",CABE05,5182,484,6220,27,76407,6642,2996
2,"200903",CICLOSP100,332,109,718,19,66594,778,314
2,"200903",CICLOSP10050,49,2,70,9,362,73,34
2,"200903",CICLOSP25,90,30,165,12,9366,173,57
2,"200903",CICLOSP50,157,49,313,15,23852,323,137
2,"200903",FILG300,148,59,283,15,3426,288,134
2,"200903",OCTR01,37,16,56,6,2843,59,24
2,"200903",OCTR10,236,86,386,13,1203,393,136
2,"200903",OCTR20,1247,464,1941,24,5325,2056,762
2,"200903",OCTR30,1236,365,1947,20,8713,2028,629
2,"200904",AZAT50,262,80,344,9,24215,353,160
2,"200904",BROM25,947,149,1124,18,66861,1213,539
2,"200904",CABE05,5165,504,6221,27,76606,6673,3091
2,"200904",CICLOSP10,0,0,3,2,640,3,2
2,"200904",CICLOSP100,349,100,735,20,71217,783,331
2,"200904",CICLOSP10050,37,6,66,9,458,69,36
2,"200904",CICLOSP25,82,30,162,13,8997,167,55
2,"200904",CICLOSP50,151,46,303,16,22598,318,140
2,"200904",FILG300,140,66,257,14,2774,260,131
2,"200904",OCTR01,30,15,43,5,2554,45,17
2,"200904",OCTR10,233,86,375,12,909,386,134
2,"200904",OCTR20,1233,428,1870,25,5309,1988,765
2,"200904",OCTR30,1203,370,1974,19,9159,2058,637
2,"201001",AZAT50,261,70,357,10,35945,365,147
2,"201001",BROM25,856,130,1046,17,69504,1123,507
2,"201001",CABE05,4985,507,6021,26,81936,6483,3045
2,"201001",CICLOSP10,0,0,3,1,720,3,1
2,"201001",CICLOSP100,327,89,706,20,69202,751,324
2,"201001",CICLOSP10050,35,7,71,10,453,76,38
2,"201001",CICLOSP25,50,14,139,13,7520,142,57
2,"201001",CICLOSP50,134,58,304,16,20856,324,135
2,"201001",DESM0125,2,0,2,1,10,2,1
2,"201001",FILG300,135,61,240,17,3040,245,124
2,"201001",OCTR01,21,12,37,7,2655,39,18
2,"201001",OCTR10,258,98,422,12,2131,430,148
2,"201001",OCTR20,1130,416,1732,25,5767,1851,737
2,"201001",OCTR30,1134,328,1825,20,7778,1896,658
2,"201001",TRIP375,1,0,1,1,1,1,1
2,"201001",,6,1,9,1,393,9,9
2,"201002",ALFA2000,0,2,2,1,16,2,1
2,"201002",ALFA4000,0,1,3,1,36,3,2
2,"201002",ATOR10,2,0,3,1,120,3,3
2,"201002",AZAT50,251,64,336,10,47132,354,156
2,"201002",BROM25,808,114,969,17,70766,1048,493
2,"201002",CABE05,5336,613,6480,26,101336,7037,3073
2,"201002",CICLOSP100,272,67,578,22,55700,625,311
2,"201002",CICLOSP10050,38,2,64,9,170,65,36
2,"201002",CICLOSP25,34,15,114,12,6705,116,49
2,"201002",CICLOSP50,133,49,263,16,18907,278,130
2,"201002",DESM0125,1,0,1,1,5,1,1
2,"201002",FILG300,141,56,228,14,2867,232,124
2,"201002",OCTR01,18,3,32,4,2107,32,15
2,"201002",OCTR10,231,95,362,12,775,373,158
2,"201002",OCTR20,1105,435,1787,25,3019,1901,770
2,"201002",OCTR30,1014,319,1642,21,5759,1712,664
2,"201002",TRIP375,2,0,2,1,2,2,1
2,"201002",,27,7,39,1,3256,39,39
2,"201003",AZAT50,173,42,228,9,23383,239,133
2,"201003",BROM25,810,107,1002,17,61626,1062,465
2,"201003",CABE05,5116,625,6370,27,85988,6890,3007
2,"201003",CICLOSP10,4,0,5,2,570,5,3
2,"201003",CICLOSP100,248,74,540,23,53859,592,284
2,"201003",CICLOSP10050,36,3,60,7,131,62,34
2,"201003",CICLOSP25,40,9,100,13,6436,107,47
2,"201003",CICLOSP50,115,48,239,16,19840,256,121
2,"201003",FILG300,166,74,264,14,3018,267,136
2,"201003",OCTR01,15,0,22,4,1868,24,12
2,"201003",OCTR10,257,89,380,13,947,385,155
2,"201003",OCTR20,1099,449,1721,25,3006,1849,754
2,"201003",OCTR30,1041,348,1725,21,3864,1812,722
2,"201004",AZAT50,116,41,173,8,11780,175,85
2,"201004",BROM25,789,106,977,15,58712,1040,462
2,"201004",CABE05,4814,561,5965,27,73342,6454,2844
2,"201004",CICLOSP10,6,0,12,1,1530,12,6
2,"201004",CICLOSP100,250,79,572,23,58898,642,296
2,"201004",CICLOSP10050,45,3,76,9,311,77,37
2,"201004",CICLOSP25,40,4,88,13,6164,91,39
2,"201004",CICLOSP50,111,58,276,18,23125,309,138
2,"201004",FILG300,147,75,271,14,3351,276,149
2,"201004",OCTR01,18,0,26,4,2027,31,13
2,"201004",OCTR10,241,94,363,13,691,368,147
2,"201004",OCTR20,1066,381,1644,24,2594,1774,760
2,"201004",OCTR30,1008,348,1654,22,2986,1791,728
2,"201101",AZAT50,122,35,171,10,12368,176,103
2,"201101",BROM25,803,117,999,13,60651,1050,465
2,"201101",CABE05,4844,630,6083,26,77242,6543,2814
2,"201101",CICLOSP10,12,4,19,1,2190,19,7
2,"201101",CICLOSP100,279,98,650,24,62262,717,316
2,"201101",CICLOSP10050,42,4,78,11,123,78,41
2,"201101",CICLOSP25,52,10,114,13,8166,122,61
2,"201101",CICLOSP50,136,55,301,20,25153,339,156
2,"201101",FILG300,132,69,258,14,2565,267,143
2,"201101",OCTR01,11,0,20,4,1392,25,10
2,"201101",OCTR10,277,99,399,13,776,418,163
2,"201101",OCTR20,1198,458,1807,25,3019,1956,811
2,"201101",OCTR30,1118,433,1839,21,3670,1978,780
2,"201102",AZAT50,346,100,496,12,34641,525,285
2,"201102",BROM25,792,121,976,14,58614,1020,455
2,"201102",CABE05,4956,670,6187,26,79345,6745,2893
2,"201102",CICLOSP10,1,0,1,1,240,1,1
2,"201102",CICLOSP100,293,99,662,24,64585,739,339
2,"201102",CICLOSP10050,36,0,66,10,210,66,31
2,"201102",CICLOSP25,60,16,146,14,11622,156,63
2,"201102",CICLOSP50,185,58,368,18,31944,420,183
2,"201102",FILG300,124,57,220,13,2614,227,119
2,"201102",OCTR01,15,1,22,4,1965,28,11
2,"201102",OCTR05,1,1,1,1,60,1,1
2,"201102",OCTR10,268,91,398,12,654,417,161
2,"201102",OCTR20,1235,510,1862,25,3135,2040,843
2,"201102",OCTR30,1177,439,1897,21,3528,2081,816
2,"201103",AZAT50,376,116,537,12,37782,569,268
2,"201103",BROM25,766,134,993,13,58639,1033,437
2,"201103",CABE05,5260,742,6612,26,85370,7162,3009
2,"201103",CICLOSP100,279,91,621,24,59122,704,319
2,"201103",CICLOSP10050,27,1,54,7,84,54,27
2,"201103",CICLOSP25,59,17,146,14,11789,158,71
2,"201103",CICLOSP50,186,68,363,20,31268,425,184
2,"201103",FILG300,109,53,209,13,2623,216,105
2,"201103",OCTR01,11,0,22,4,1687,28,10
2,"201103",OCTR10,269,108,418,12,825,431,172
2,"201103",OCTR20,1251,503,1861,24,3440,2011,788
2,"201103",OCTR30,1249,492,2006,21,4249,2207,793
2,"201104",AZAT50,346,94,443,12,31558,478,228
2,"201104",BROM25,736,130,935,15,56275,979,422
2,"201104",BROM5,1,0,1,1,60,1,1
2,"201104",CABE05,5205,785,6627,26,84856,7119,2979
2,"201104",CICLOSP100,276,89,580,23,58882,666,309
2,"201104",CICLOSP10050,25,1,50,10,82,50,25
2,"201104",CICLOSP25,55,13,121,15,8395,134,60
2,"201104",CICLOSP50,162,64,360,19,31654,405,175
2,"201104",FILG300,113,49,193,12,2184,200,102
2,"201104",OCTR01,15,0,36,3,2623,39,14
2,"201104",OCTR10,335,109,516,13,1289,527,217
2,"201104",OCTR20,1425,563,2138,23,4341,2284,920
2,"201104",OCTR30,1324,538,2166,22,5100,2299,825
2,"201201",AZAT50,300,94,399,13,27391,409,184
2,"201201",BROM25,664,103,835,14,49631,882,377
2,"201201",CABE05,4840,728,6232,26,76482,6623,2927
2,"201201",CICLOSP100,293,78,574,24,56457,641,301
2,"201201",CICLOSP10050,26,0,52,10,113,52,27
2,"201201",CICLOSP25,49,8,104,15,7670,118,55
2,"201201",CICLOSP50,154,47,289,19,23259,320,145
2,"201201",FILG300,82,42,151,12,1320,155,89
2,"201201",OCTR01,23,1,34,4,2929,35,15
2,"201201",OCTR10,257,91,368,12,736,384,182
2,"201201",OCTR20,1200,501,1866,24,3525,1969,842
2,"201201",OCTR30,1299,482,2095,21,5008,2200,839
2,"201202",AZAT50,322,96,406,12,28490,433,198
2,"201202",BROM25,651,112,827,14,50198,876,379
2,"201202",CABE05,5180,786,6736,27,86937,7151,3097
2,"201202",CICLOSP100,340,91,641,22,61002,710,324
2,"201202",CICLOSP10050,23,6,58,8,169,58,30
2,"201202",CICLOSP25,40,4,103,14,8137,122,53
2,"201202",CICLOSP50,158,47,300,18,25797,333,153
2,"201202",FILG300,106,52,173,12,1701,175,89
2,"201202",OCTR01,25,3,41,4,3363,41,15
2,"201202",OCTR10,257,101,369,13,605,387,148
2,"201202",OCTR20,1307,554,1979,24,4186,2098,838
2,"201202",OCTR30,1426,504,2324,21,6759,2455,886
2,"201203",AZAT50,316,87,392,12,27735,424,178
2,"201203",BROM25,624,120,813,14,48260,869,364
2,"201203",CABE05,5604,903,7276,26,93141,7743,3147
2,"201203",CICLOSP100,365,115,731,22,64320,787,348
2,"201203",CICLOSP10050,44,4,68,9,249,71,36
2,"201203",CICLOSP25,53,10,121,15,8370,138,63
2,"201203",CICLOSP50,196,66,367,18,28120,393,172
2,"201203",FILG300,103,55,192,12,1730,192,105
2,"201203",OCTR01,28,5,46,4,3860,48,19
2,"201203",OCTR10,320,102,442,14,1225,469,185
2,"201203",OCTR20,1393,602,2160,24,4702,2291,905
2,"201203",OCTR30,1544,558,2593,23,6902,2716,975
2,"201204",AZAT50,287,93,347,10,23873,370,171
2,"201204",BROM25,558,112,737,13,45951,790,339
2,"201204",CABE05,5433,933,7148,26,91503,7551,3167
2,"201204",CICLOSP100,315,96,686,22,61060,731,337
2,"201204",CICLOSP10050,25,7,58,8,275,58,29
2,"201204",CICLOSP25,53,19,127,15,8515,137,62
2,"201204",CICLOSP50,182,73,350,18,27820,378,168
2,"201204",FILG300,67,49,154,13,1267,158,88
2,"201204",OCTR01,19,4,38,4,2974,39,18
2,"201204",OCTR10,316,100,407,14,1014,428,162
2,"201204",OCTR20,1376,568,2080,24,4505,2221,861
2,"201204",OCTR30,1623,624,2777,22,6982,2898,1003
2,"201301",AZAT50,257,74,335,10,22619,348,160
2,"201301",BROM25,524,103,676,14,40223,722,327
2,"201301",CABE05,5325,923,7134,26,92681,7510,3185
2,"201301",CICLOSP100,300,100,665,24,57894,708,330
2,"201301",CICLOSP10050,18,8,56,9,100,56,27
2,"201301",CICLOSP25,64,25,126,17,9969,139,66
2,"201301",CICLOSP50,224,77,415,19,35367,456,205
2,"201301",FILG300,40,38,95,12,1131,97,63
2,"201301",OCTR01,16,4,37,4,3086,37,16
2,"201301",OCTR10,299,108,406,12,869,423,166
2,"201301",OCTR20,1279,556,2004,23,4050,2097,837
2,"201301",OCTR30,1525,576,2624,22,7122,2725,977
2,"201302",AZAT50,256,75,337,10,23028,353,156
2,"201302",BROM25,496,102,670,14,38619,713,306
2,"201302",CABE05,5687,1018,7568,26,97137,8063,3268
2,"201302",CICLOSP100,320,102,675,23,57694,712,323
2,"201302",CICLOSP10050,14,4,41,9,86,48,27
2,"201302",CICLOSP25,83,16,137,13,9901,145,65
2,"201302",CICLOSP50,222,61,390,18,34872,429,200
2,"201302",FILG300,60,36,120,14,1078,126,64
2,"201302",OCTR01,19,4,37,4,2938,40,18
2,"201302",OCTR05,2,0,2,1,32,2,1
2,"201302",OCTR10,320,123,439,13,776,453,166
