"co_pcdt","sg_procedimento","nu_ano_competencia","qt_paciente_tempo","qt_registros_avg","qt_registros_std","co_seq_pcdt_ano","qt_acum","sg_abc"
1,ISOT20,2008,13408.750000000175,3.7899236856981345,2.2867116725322100,1,1,A
1,ISOT10,2008,2962.416666666693,4.5675189515610947,3.7856379704549979,2,0.18099082269943897,C
1,ACIT10,2008,0.25,1.00000000000000000000,0,3,0.00004581015254780742,C
1,CICLOSP50,2008,0.16666666666666666,2.0000000000000000,,4,0.00003054010169853828,C
1,ACIT25,2008,0.16666666666666666,1.00000000000000000000,0,4,0.00003054010169853828,C
1,LAMO100,2008,0.08333333333333333,1.00000000000000000000,,5,0.00001018003389951276,C
1,AZAT50,2008,0.08333333333333333,1.00000000000000000000,,5,0.00001018003389951276,C
1,ISOT20,2009,14607.166666667126,3.6947430546772902,2.1840315138626485,1,1,A
1,ISOT10,2009,3132.9166666666797,4.6248000984130889,3.7392832481850677,2,0.17660101183289797,C
1,ISOT20,2010,14999.916666666943,3.5495760205087754,2.1191269907653988,1,1,A
1,ISOT10,2010,2081.333333333314,3.3971708378672470,2.4284695689837857,2,0.1229486629765309,C
1,ACIT10,2010,21.249999999999968,1.0580912863070539,0.25155120412901065404,3,0.0012522413658688496,C
1,,2010,0.16666666666666666,1.00000000000000000000,0,4,0.000009745068995088338,C
1,ISOT20,2011,19514.25000000002,3.9086478276109563,2.2764131679850305,1,1,A
1,ISOT10,2011,2620.666666666686,3.4104760871922785,2.3018748373464639,2,0.11839514492562724,C
1,ISOT20,2012,18047.58333333344,3.7021316603702627,2.1769896990057027,1,1,A
1,ISOT10,2012,2362.4166666666574,3.6917567391587446,2.3471615874902235,2,0.11574799934672445,C
1,ISOT20,2013,18647.583333333856,3.6794152950655244,2.1515466192118050,1,1,A
1,ISOT10,2013,2085.3333333333176,3.6340400813244264,2.3184956497039382,2,0.100580799453362,C
1,ISOT20,2014,18468.74999999984,3.5981004951700625,2.1305798170496717,1,1,A
1,ISOT10,2014,2044.7499999999893,3.5550565053607650,2.3599622051245692,2,0.09967826065761602,C
1,ISOT20,2015,16413.583333333856,3.4451557607878120,2.0537077051648459,1,1,A
1,ISOT10,2015,1452.4166666666579,3.2632465830368845,2.1738949710980047,2,0.08129501100787061,C
1,ISOT20,2016,14425.833333334087,3.4213490918433899,2.0736415557523529,1,1,A
1,ISOT10,2016,729.5000000000036,2.9025198938992042,2.0032594376158083,2,0.04813487001275462,C
1,ISOT20,2017,13364.00000000035,3.4842157863862515,2.0592053884889997,1,0.9999999999999999,A
1,ISOT10,2017,721.0000000000031,2.9979209979209979,2.1040513471394868,2,0.051189208377705714,C
1,ISOT20,2018,12659.250000000315,3.4778159340659341,2.1195118527228157,1,1,A
1,ISOT10,2018,544.4999999999999,2.8042918454935622,1.9216911787522550,2,0.04123828457824383,C
1,ISOT20,2019,4987.166666666656,2.4898485604925944,1.4354790438180206,1,1,A
1,ISOT10,2019,141.5833333333334,2.3178717598908595,1.3873628913428444,2,0.027605816881956364,C
2,CABE05,2008,1994.416666666669,5.0942954448701575,3.4166129442224791,1,1,A
2,BROM25,2008,563.9166666666666,5.5376432078559738,3.7033495709405126,2,0.542486283955573,B
2,OCTR20,2008,549.2499999999995,6.6643073811931244,4.4963491770118903,3,0.41312534648544247,C
2,OCTR30,2008,488.91666666666623,8.9028831562974203,5.9011338514329099,4,0.2871289021429525,C
2,CICLOSP100,2008,198.74999999999997,5.6382978723404255,4.7355816526364458,5,0.17497275907552898,C
2,AZAT50,2008,142.91666666666669,6.9153225806451613,3.7434000080430618,6,0.12938005390835575,C
2,OCTR10,2008,133.16666666666663,5.8109090909090909,5.1446830581754633,7,0.09659536235208652,C
2,CICLOSP50,2008,101.66666666666667,5.5707762557077626,4.4120627849698820,8,0.0660472940681692,C
2,FILG300,2008,85.33333333333333,3.7101449275362319,3.0168084244493753,9,0.04272523943338876,C
2,CICLOSP25,2008,50.33333333333333,7.0232558139534884,5.7455389225258859,10,0.023150006690753372,C
2,OCTR01,2008,28.666666666666664,4.0952380952380952,3.3170572224980456,11,0.01160367800271453,C
2,CICLOSP10050,2008,19.666666666666664,3.9333333333333333,2.9737077618870595,12,0.005027623253235455,C
2,RIBA250,2008,0.5,3.0000000000000000,1.4142135623730950,13,0.0005161438320812066,C
2,RISP2,2008,0.25,3.0000000000000000,,14,0.0004014452027298274,C
2,LEVO50,2008,0.25,1.5000000000000000,0.70710678118654752440,14,0.0004014452027298274,C
2,LEVO100,2008,0.25,3.0000000000000000,,14,0.0004014452027298274,C
2,MOLG300,2008,0.16666666666666666,1.00000000000000000000,0,15,0.0002293972587027585,C
2,SINV20,2008,0.16666666666666666,2.0000000000000000,,15,0.0002293972587027585,C
2,LEUP375,2008,0.16666666666666666,1.00000000000000000000,0,15,0.0002293972587027585,C
2,SINV40,2008,0.16666666666666666,2.0000000000000000,,15,0.0002293972587027585,C
2,DESM0125,2008,0.08333333333333333,1.00000000000000000000,,16,0.00007646575290091949,C
2,ALFA2180,2008,0.08333333333333333,1.00000000000000000000,,16,0.00007646575290091949,C
2,SEVE800,2008,0.08333333333333333,1.00000000000000000000,,16,0.00007646575290091949,C
2,CICLOSP10,2008,0.08333333333333333,1.00000000000000000000,,16,0.00007646575290091949,C
2,CABE05,2009,2188.999999999996,5.5277777777777778,3.6314168945517757,1,1,A
2,OCTR20,2009,676.2500000000006,7.4586397058823529,4.9451581875854608,2,0.5382587143384492,B
2,OCTR30,2009,631.2500000000007,9.6007604562737643,6.1540337503679497,3,0.39561250856931957,C
